"Step","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: NP15","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: NP15__MAX"
"37","16.3297119140625","16.3297119140625","16.3297119140625","17.56009864807129","17.56009864807129","17.56009864807129","16.737865447998047","16.737865447998047","16.737865447998047","14.338327407836914","14.338327407836914","14.338327407836914","16.494060516357422","16.494060516357422","16.494060516357422","20.610000610351562","20.610000610351562","20.610000610351562"
"38","18.595041275024414","18.595041275024414","18.595041275024414","20.6943359375","20.6943359375","20.6943359375","18.174747467041016","18.174747467041016","18.174747467041016","15.936628341674805","15.936628341674805","15.936628341674805","19.622028350830078","19.622028350830078","19.622028350830078","22.520000457763672","22.520000457763672","22.520000457763672"
"39","18.606689453125","18.606689453125","18.606689453125","19.564416885375977","19.564416885375977","19.564416885375977","18.136568069458008","18.136568069458008","18.136568069458008","17.594688415527344","17.594688415527344","17.594688415527344","18.345382690429688","18.345382690429688","18.345382690429688","23.100000381469727","23.100000381469727","23.100000381469727"
"40","16.400089263916016","16.400089263916016","16.400089263916016","16.926576614379883","16.926576614379883","16.926576614379883","15.41330337524414","15.41330337524414","15.41330337524414","15.479183197021484","15.479183197021484","15.479183197021484","15.332097053527832","15.332097053527832","15.332097053527832","24.81999969482422","24.81999969482422","24.81999969482422"
"41","13.972227096557617","13.972227096557617","13.972227096557617","14.603758811950684","14.603758811950684","14.603758811950684","13.010995864868164","13.010995864868164","13.010995864868164","13.42991828918457","13.42991828918457","13.42991828918457","13.21426773071289","13.21426773071289","13.21426773071289","19.020000457763672","19.020000457763672","19.020000457763672"
"42","11.46091365814209","11.46091365814209","11.46091365814209","13.265336990356445","13.265336990356445","13.265336990356445","10.131917953491211","10.131917953491211","10.131917953491211","11.944307327270508","11.944307327270508","11.944307327270508","11.05978012084961","11.05978012084961","11.05978012084961","14.770000457763672","14.770000457763672","14.770000457763672"
"43","9.252336502075195","9.252336502075195","9.252336502075195","11.934300422668457","11.934300422668457","11.934300422668457","7.44526481628418","7.44526481628418","7.44526481628418","10.528047561645508","10.528047561645508","10.528047561645508","9.569799423217773","9.569799423217773","9.569799423217773","16.559999465942383","16.559999465942383","16.559999465942383"
"44","7.7172040939331055","7.7172040939331055","7.7172040939331055","11.157843589782715","11.157843589782715","11.157843589782715","4.892946720123291","4.892946720123291","4.892946720123291","9.80865478515625","9.80865478515625","9.80865478515625","8.353292465209961","8.353292465209961","8.353292465209961","17.889999389648438","17.889999389648438","17.889999389648438"
"45","6.925879001617432","6.925879001617432","6.925879001617432","10.331038475036621","10.331038475036621","10.331038475036621","3.9098854064941406","3.9098854064941406","3.9098854064941406","9.47979736328125","9.47979736328125","9.47979736328125","7.873364448547363","7.873364448547363","7.873364448547363","18.8700008392334","18.8700008392334","18.8700008392334"
"46","8.280620574951172","8.280620574951172","8.280620574951172","9.972167015075684","9.972167015075684","9.972167015075684","4.445991039276123","4.445991039276123","4.445991039276123","9.880440711975098","9.880440711975098","9.880440711975098","8.074028015136719","8.074028015136719","8.074028015136719","13.579999923706055","13.579999923706055","13.579999923706055"
"47","12.18505573272705","12.18505573272705","12.18505573272705","11.308947563171387","11.308947563171387","11.308947563171387","6.52424430847168","6.52424430847168","6.52424430847168","11.463006973266602","11.463006973266602","11.463006973266602","9.31865406036377","9.31865406036377","9.31865406036377","20.1200008392334","20.1200008392334","20.1200008392334"
"48","12.728347778320312","12.728347778320312","12.728347778320312","12.000288009643555","12.000288009643555","12.000288009643555","11.380277633666992","11.380277633666992","11.380277633666992","14.359024047851562","14.359024047851562","14.359024047851562","14.42327880859375","14.42327880859375","14.42327880859375","26.1200008392334","26.1200008392334","26.1200008392334"
"49","18.72110939025879","18.72110939025879","18.72110939025879","16.09502410888672","16.09502410888672","16.09502410888672","18.53263282775879","18.53263282775879","18.53263282775879","21.69747543334961","21.69747543334961","21.69747543334961","20.806163787841797","20.806163787841797","20.806163787841797","17.549999237060547","17.549999237060547","17.549999237060547"
"50","27.54189109802246","27.54189109802246","27.54189109802246","21.993167877197266","21.993167877197266","21.993167877197266","25.682697296142578","25.682697296142578","25.682697296142578","28.67487907409668","28.67487907409668","28.67487907409668","28.382518768310547","28.382518768310547","28.382518768310547","19.979999542236328","19.979999542236328","19.979999542236328"
"51","31.450218200683594","31.450218200683594","31.450218200683594","29.068696975708008","29.068696975708008","29.068696975708008","29.420333862304688","29.420333862304688","29.420333862304688","31.416250228881836","31.416250228881836","31.416250228881836","32.161163330078125","32.161163330078125","32.161163330078125","28.469999313354492","28.469999313354492","28.469999313354492"
"52","27.06329345703125","27.06329345703125","27.06329345703125","31.75175666809082","31.75175666809082","31.75175666809082","28.77496337890625","28.77496337890625","28.77496337890625","27.879905700683594","27.879905700683594","27.879905700683594","28.583274841308594","28.583274841308594","28.583274841308594","28.270000457763672","28.270000457763672","28.270000457763672"
"53","22.593563079833984","22.593563079833984","22.593563079833984","30.18056869506836","30.18056869506836","30.18056869506836","25.00762176513672","25.00762176513672","25.00762176513672","25.322214126586914","25.322214126586914","25.322214126586914","23.57927131652832","23.57927131652832","23.57927131652832","23.719999313354492","23.719999313354492","23.719999313354492"
"54","20.642202377319336","20.642202377319336","20.642202377319336","26.888275146484375","26.888275146484375","26.888275146484375","23.223024368286133","23.223024368286133","23.223024368286133","23.59038543701172","23.59038543701172","23.59038543701172","20.43560028076172","20.43560028076172","20.43560028076172","19.979999542236328","19.979999542236328","19.979999542236328"
"55","18.82105255126953","18.82105255126953","18.82105255126953","24.443737030029297","24.443737030029297","24.443737030029297","20.798738479614258","20.798738479614258","20.798738479614258","21.564353942871094","21.564353942871094","21.564353942871094","16.977617263793945","16.977617263793945","16.977617263793945","17.670000076293945","17.670000076293945","17.670000076293945"
"56","15.544898986816406","15.544898986816406","15.544898986816406","18.756893157958984","18.756893157958984","18.756893157958984","17.53335189819336","17.53335189819336","17.53335189819336","18.461496353149414","18.461496353149414","18.461496353149414","16.77668571472168","16.77668571472168","16.77668571472168","18.170000076293945","18.170000076293945","18.170000076293945"
"57","14.986946105957031","14.986946105957031","14.986946105957031","17.51692008972168","17.51692008972168","17.51692008972168","16.769821166992188","16.769821166992188","16.769821166992188","18.29421615600586","18.29421615600586","18.29421615600586","15.576048851013184","15.576048851013184","15.576048851013184","16.600000381469727","16.600000381469727","16.600000381469727"
"58","15.079330444335938","15.079330444335938","15.079330444335938","16.79140853881836","16.79140853881836","16.79140853881836","17.06484031677246","17.06484031677246","17.06484031677246","18.78655433654785","18.78655433654785","18.78655433654785","15.578155517578125","15.578155517578125","15.578155517578125","15.25","15.25","15.25"
"59","16.33673858642578","16.33673858642578","16.33673858642578","17.27507209777832","17.27507209777832","17.27507209777832","17.296504974365234","17.296504974365234","17.296504974365234","20.205364227294922","20.205364227294922","20.205364227294922","16.754486083984375","16.754486083984375","16.754486083984375","15.300000190734863","15.300000190734863","15.300000190734863"
"60","18.3696346282959","18.3696346282959","18.3696346282959","19.509525299072266","19.509525299072266","19.509525299072266","20.11457633972168","20.11457633972168","20.11457633972168","24.180187225341797","24.180187225341797","24.180187225341797","19.200115203857422","19.200115203857422","19.200115203857422","15.789999961853027","15.789999961853027","15.789999961853027"
"61","21.665714263916016","21.665714263916016","21.665714263916016","21.04214096069336","21.04214096069336","21.04214096069336","24.02286148071289","24.02286148071289","24.02286148071289","26.44316291809082","26.44316291809082","26.44316291809082","22.542024612426758","22.542024612426758","22.542024612426758","15.640000343322754","15.640000343322754","15.640000343322754"
"62","22.28209686279297","22.28209686279297","22.28209686279297","21.326505661010742","21.326505661010742","21.326505661010742","22.111942291259766","22.111942291259766","22.111942291259766","22.32098388671875","22.32098388671875","22.32098388671875","20.757549285888672","20.757549285888672","20.757549285888672","18.459999084472656","18.459999084472656","18.459999084472656"
"63","18.05236053466797","18.05236053466797","18.05236053466797","18.67726707458496","18.67726707458496","18.67726707458496","17.801559448242188","17.801559448242188","17.801559448242188","17.828216552734375","17.828216552734375","17.828216552734375","15.659740447998047","15.659740447998047","15.659740447998047","16.170000076293945","16.170000076293945","16.170000076293945"
"64","16.062211990356445","16.062211990356445","16.062211990356445","15.926623344421387","15.926623344421387","15.926623344421387","15.332964897155762","15.332964897155762","15.332964897155762","15.578361511230469","15.578361511230469","15.578361511230469","13.514034271240234","13.514034271240234","13.514034271240234","9.550000190734863","9.550000190734863","9.550000190734863"
"65","15.110298156738281","15.110298156738281","15.110298156738281","13.671762466430664","13.671762466430664","13.671762466430664","15.964521408081055","15.964521408081055","15.964521408081055","14.083127975463867","14.083127975463867","14.083127975463867","12.785011291503906","12.785011291503906","12.785011291503906","8.640000343322754","8.640000343322754","8.640000343322754"
"66","14.351747512817383","14.351747512817383","14.351747512817383","11.178674697875977","11.178674697875977","11.178674697875977","14.243711471557617","14.243711471557617","14.243711471557617","13.035094261169434","13.035094261169434","13.035094261169434","11.580181121826172","11.580181121826172","11.580181121826172","13.510000228881836","13.510000228881836","13.510000228881836"
"67","13.014400482177734","13.014400482177734","13.014400482177734","9.555658340454102","9.555658340454102","9.555658340454102","12.025039672851562","12.025039672851562","12.025039672851562","10.945331573486328","10.945331573486328","10.945331573486328","10.40428352355957","10.40428352355957","10.40428352355957","10.6899995803833","10.6899995803833","10.6899995803833"
"68","11.96186637878418","11.96186637878418","11.96186637878418","7.782601356506348","7.782601356506348","7.782601356506348","10.686619758605957","10.686619758605957","10.686619758605957","9.8304443359375","9.8304443359375","9.8304443359375","10.096441268920898","10.096441268920898","10.096441268920898","11.90999984741211","11.90999984741211","11.90999984741211"
"69","11.23794174194336","11.23794174194336","11.23794174194336","6.991595268249512","6.991595268249512","6.991595268249512","10.133017539978027","10.133017539978027","10.133017539978027","9.483108520507812","9.483108520507812","9.483108520507812","10.134506225585938","10.134506225585938","10.134506225585938","10.239999771118164","10.239999771118164","10.239999771118164"
"70","11.432109832763672","11.432109832763672","11.432109832763672","7.306001663208008","7.306001663208008","7.306001663208008","10.132715225219727","10.132715225219727","10.132715225219727","10.244075775146484","10.244075775146484","10.244075775146484","10.40750789642334","10.40750789642334","10.40750789642334","11.130000114440918","11.130000114440918","11.130000114440918"
"71","12.280157089233398","12.280157089233398","12.280157089233398","9.172378540039062","9.172378540039062","9.172378540039062","10.959503173828125","10.959503173828125","10.959503173828125","12.778837203979492","12.778837203979492","12.778837203979492","11.991601943969727","11.991601943969727","11.991601943969727","10.430000305175781","10.430000305175781","10.430000305175781"
"72","15.82628345489502","15.82628345489502","15.82628345489502","13.006096839904785","13.006096839904785","13.006096839904785","13.3148775100708","13.3148775100708","13.3148775100708","10.699556350708008","10.699556350708008","10.699556350708008","13.065627098083496","13.065627098083496","13.065627098083496","16.209999084472656","16.209999084472656","16.209999084472656"
"73","19.148191452026367","19.148191452026367","19.148191452026367","17.524303436279297","17.524303436279297","17.524303436279297","16.57390785217285","16.57390785217285","16.57390785217285","13.808226585388184","13.808226585388184","13.808226585388184","15.449291229248047","15.449291229248047","15.449291229248047","8.510000228881836","8.510000228881836","8.510000228881836"
"74","24.667695999145508","24.667695999145508","24.667695999145508","23.75543975830078","23.75543975830078","23.75543975830078","21.816486358642578","21.816486358642578","21.816486358642578","18.664690017700195","18.664690017700195","18.664690017700195","19.756549835205078","19.756549835205078","19.756549835205078","20.770000457763672","20.770000457763672","20.770000457763672"
"75","27.9337100982666","27.9337100982666","27.9337100982666","28.161441802978516","28.161441802978516","28.161441802978516","29.561504364013672","29.561504364013672","29.561504364013672","26.010305404663086","26.010305404663086","26.010305404663086","25.37664222717285","25.37664222717285","25.37664222717285","21.1200008392334","21.1200008392334","21.1200008392334"
"76","25.71436882019043","25.71436882019043","25.71436882019043","26.266082763671875","26.266082763671875","26.266082763671875","30.82770538330078","30.82770538330078","30.82770538330078","26.731103897094727","26.731103897094727","26.731103897094727","26.990427017211914","26.990427017211914","26.990427017211914","22.510000228881836","22.510000228881836","22.510000228881836"
"77","21.65957260131836","21.65957260131836","21.65957260131836","22.260150909423828","22.260150909423828","22.260150909423828","26.375078201293945","26.375078201293945","26.375078201293945","22.974557876586914","22.974557876586914","22.974557876586914","23.282432556152344","23.282432556152344","23.282432556152344","19.530000686645508","19.530000686645508","19.530000686645508"
"78","19.11896324157715","19.11896324157715","19.11896324157715","18.85781478881836","18.85781478881836","18.85781478881836","22.03884506225586","22.03884506225586","22.03884506225586","21.023366928100586","21.023366928100586","21.023366928100586","20.611318588256836","20.611318588256836","20.611318588256836","20.309999465942383","20.309999465942383","20.309999465942383"
"79","16.657861709594727","16.657861709594727","16.657861709594727","16.379987716674805","16.379987716674805","16.379987716674805","19.216033935546875","19.216033935546875","19.216033935546875","18.704113006591797","18.704113006591797","18.704113006591797","18.8366756439209","18.8366756439209","18.8366756439209","17.719999313354492","17.719999313354492","17.719999313354492"
"80","15.010396003723145","15.010396003723145","15.010396003723145","15.078473091125488","15.078473091125488","15.078473091125488","15.75439167022705","15.75439167022705","15.75439167022705","16.174646377563477","16.174646377563477","16.174646377563477","16.646318435668945","16.646318435668945","16.646318435668945","15.630000114440918","15.630000114440918","15.630000114440918"
"81","14.088203430175781","14.088203430175781","14.088203430175781","14.67972183227539","14.67972183227539","14.67972183227539","14.680527687072754","14.680527687072754","14.680527687072754","15.469279289245605","15.469279289245605","15.469279289245605","14.989116668701172","14.989116668701172","14.989116668701172","14.9399995803833","14.9399995803833","14.9399995803833"
"82","13.203888893127441","13.203888893127441","13.203888893127441","14.679125785827637","14.679125785827637","14.679125785827637","14.559160232543945","14.559160232543945","14.559160232543945","14.744423866271973","14.744423866271973","14.744423866271973","13.537938117980957","13.537938117980957","13.537938117980957","14.329999923706055","14.329999923706055","14.329999923706055"
"83","13.237875938415527","13.237875938415527","13.237875938415527","14.374152183532715","14.374152183532715","14.374152183532715","14.79075813293457","14.79075813293457","14.79075813293457","14.169244766235352","14.169244766235352","14.169244766235352","13.462348937988281","13.462348937988281","13.462348937988281","14.380000114440918","14.380000114440918","14.380000114440918"
