"Step","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: SP15","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: SP15__MAX"
"35","43.15827560424805","43.15827560424805","43.15827560424805","55.81421661376953","55.81421661376953","55.81421661376953","53.388526916503906","53.388526916503906","53.388526916503906","58.214134216308594","58.214134216308594","58.214134216308594","62.04750442504883","62.04750442504883","62.04750442504883","46.40999984741211","46.40999984741211","46.40999984741211"
"36","41.11725997924805","41.11725997924805","41.11725997924805","50.86311340332031","50.86311340332031","50.86311340332031","44.904720306396484","44.904720306396484","44.904720306396484","47.87818908691406","47.87818908691406","47.87818908691406","49.38363265991211","49.38363265991211","49.38363265991211","49.27000045776367","49.27000045776367","49.27000045776367"
"37","39.14017868041992","39.14017868041992","39.14017868041992","44.55986404418945","44.55986404418945","44.55986404418945","40.710365295410156","40.710365295410156","40.710365295410156","43.895225524902344","43.895225524902344","43.895225524902344","42.53388977050781","42.53388977050781","42.53388977050781","44.75","44.75","44.75"
"38","38.15102767944336","38.15102767944336","38.15102767944336","41.36079788208008","41.36079788208008","41.36079788208008","38.09400177001953","38.09400177001953","38.09400177001953","40.994163513183594","40.994163513183594","40.994163513183594","39.533870697021484","39.533870697021484","39.533870697021484","39","39","39"
"39","37.30658721923828","37.30658721923828","37.30658721923828","38.11541748046875","38.11541748046875","38.11541748046875","34.67369842529297","34.67369842529297","34.67369842529297","39.407249450683594","39.407249450683594","39.407249450683594","36.34449768066406","36.34449768066406","36.34449768066406","35.38999938964844","35.38999938964844","35.38999938964844"
"40","37.0988655090332","37.0988655090332","37.0988655090332","37.35009765625","37.35009765625","37.35009765625","31.164793014526367","31.164793014526367","31.164793014526367","36.95179748535156","36.95179748535156","36.95179748535156","33.94178009033203","33.94178009033203","33.94178009033203","34.90999984741211","34.90999984741211","34.90999984741211"
"41","31.216381072998047","31.216381072998047","31.216381072998047","30.259021759033203","30.259021759033203","30.259021759033203","28.707063674926758","28.707063674926758","28.707063674926758","31.179601669311523","31.179601669311523","31.179601669311523","29.725555419921875","29.725555419921875","29.725555419921875","28.56999969482422","28.56999969482422","28.56999969482422"
"42","28.785842895507812","28.785842895507812","28.785842895507812","27.705001831054688","27.705001831054688","27.705001831054688","26.650442123413086","26.650442123413086","26.650442123413086","28.61852264404297","28.61852264404297","28.61852264404297","28.3299560546875","28.3299560546875","28.3299560546875","27.079999923706055","27.079999923706055","27.079999923706055"
"43","27.793718338012695","27.793718338012695","27.793718338012695","27.577194213867188","27.577194213867188","27.577194213867188","26.564851760864258","26.564851760864258","26.564851760864258","28.608964920043945","28.608964920043945","28.608964920043945","27.05284881591797","27.05284881591797","27.05284881591797","27.020000457763672","27.020000457763672","27.020000457763672"
"44","27.51291275024414","27.51291275024414","27.51291275024414","29.090517044067383","29.090517044067383","29.090517044067383","26.457902908325195","26.457902908325195","26.457902908325195","28.79178810119629","28.79178810119629","28.79178810119629","27.386417388916016","27.386417388916016","27.386417388916016","27.299999237060547","27.299999237060547","27.299999237060547"
"45","28.0833797454834","28.0833797454834","28.0833797454834","31.538658142089844","31.538658142089844","31.538658142089844","27.797103881835938","27.797103881835938","27.797103881835938","30.258848190307617","30.258848190307617","30.258848190307617","27.876251220703125","27.876251220703125","27.876251220703125","28.200000762939453","28.200000762939453","28.200000762939453"
"46","28.456485748291016","28.456485748291016","28.456485748291016","32.96299362182617","32.96299362182617","32.96299362182617","28.272008895874023","28.272008895874023","28.272008895874023","32.39142990112305","32.39142990112305","32.39142990112305","28.41974639892578","28.41974639892578","28.41974639892578","32.790000915527344","32.790000915527344","32.790000915527344"
"47","27.60662078857422","27.60662078857422","27.60662078857422","31.922321319580078","31.922321319580078","31.922321319580078","24.732664108276367","24.732664108276367","24.732664108276367","32.66429901123047","32.66429901123047","32.66429901123047","27.893917083740234","27.893917083740234","27.893917083740234","37.220001220703125","37.220001220703125","37.220001220703125"
"48","25.12275505065918","25.12275505065918","25.12275505065918","25.605289459228516","25.605289459228516","25.605289459228516","23.39948844909668","23.39948844909668","23.39948844909668","28.253597259521484","28.253597259521484","28.253597259521484","29.313217163085938","29.313217163085938","29.313217163085938","40.779998779296875","40.779998779296875","40.779998779296875"
"49","21.779342651367188","21.779342651367188","21.779342651367188","22.983600616455078","22.983600616455078","22.983600616455078","20.509641647338867","20.509641647338867","20.509641647338867","24.66730499267578","24.66730499267578","24.66730499267578","26.883514404296875","26.883514404296875","26.883514404296875","36.25","36.25","36.25"
"50","18.9872989654541","18.9872989654541","18.9872989654541","22.57586669921875","22.57586669921875","22.57586669921875","17.884000778198242","17.884000778198242","17.884000778198242","21.331966400146484","21.331966400146484","21.331966400146484","24.006610870361328","24.006610870361328","24.006610870361328","28.739999771118164","28.739999771118164","28.739999771118164"
"51","19.847736358642578","19.847736358642578","19.847736358642578","22.136995315551758","22.136995315551758","22.136995315551758","19.926197052001953","19.926197052001953","19.926197052001953","19.21221160888672","19.21221160888672","19.21221160888672","21.387882232666016","21.387882232666016","21.387882232666016","26.639999389648438","26.639999389648438","26.639999389648438"
"52","18.830852508544922","18.830852508544922","18.830852508544922","21.313899993896484","21.313899993896484","21.313899993896484","20.592330932617188","20.592330932617188","20.592330932617188","18.62735366821289","18.62735366821289","18.62735366821289","20.56172752380371","20.56172752380371","20.56172752380371","27.079999923706055","27.079999923706055","27.079999923706055"
"53","18.974205017089844","18.974205017089844","18.974205017089844","21.615032196044922","21.615032196044922","21.615032196044922","21.621633529663086","21.621633529663086","21.621633529663086","19.856103897094727","19.856103897094727","19.856103897094727","21.508344650268555","21.508344650268555","21.508344650268555","27.790000915527344","27.790000915527344","27.790000915527344"
"54","19.321517944335938","19.321517944335938","19.321517944335938","22.876283645629883","22.876283645629883","22.876283645629883","22.708518981933594","22.708518981933594","22.708518981933594","21.19951629638672","21.19951629638672","21.19951629638672","22.431732177734375","22.431732177734375","22.431732177734375","27.530000686645508","27.530000686645508","27.530000686645508"
"55","18.994123458862305","18.994123458862305","18.994123458862305","25.125160217285156","25.125160217285156","25.125160217285156","23.36034393310547","23.36034393310547","23.36034393310547","22.733989715576172","22.733989715576172","22.733989715576172","22.655776977539062","22.655776977539062","22.655776977539062","27.43000030517578","27.43000030517578","27.43000030517578"
"56","18.63609504699707","18.63609504699707","18.63609504699707","26.625389099121094","26.625389099121094","26.625389099121094","23.285980224609375","23.285980224609375","23.285980224609375","24.211652755737305","24.211652755737305","24.211652755737305","23.31842613220215","23.31842613220215","23.31842613220215","32.86000061035156","32.86000061035156","32.86000061035156"
"57","17.451927185058594","17.451927185058594","17.451927185058594","31.942371368408203","31.942371368408203","31.942371368408203","23.41382598876953","23.41382598876953","23.41382598876953","25.40713882446289","25.40713882446289","25.40713882446289","23.420259475708008","23.420259475708008","23.420259475708008","34.16999816894531","34.16999816894531","34.16999816894531"
"58","19.216041564941406","19.216041564941406","19.216041564941406","48.535762786865234","48.535762786865234","48.535762786865234","24.908594131469727","24.908594131469727","24.908594131469727","34.45127868652344","34.45127868652344","34.45127868652344","30.26217269897461","30.26217269897461","30.26217269897461","39.91999816894531","39.91999816894531","39.91999816894531"
"59","44.285301208496094","44.285301208496094","44.285301208496094","58.142677307128906","58.142677307128906","58.142677307128906","26.73700714111328","26.73700714111328","26.73700714111328","59.95576858520508","59.95576858520508","59.95576858520508","45.681663513183594","45.681663513183594","45.681663513183594","41.18000030517578","41.18000030517578","41.18000030517578"
"60","49.197296142578125","49.197296142578125","49.197296142578125","51.00305938720703","51.00305938720703","51.00305938720703","28.85253143310547","28.85253143310547","28.85253143310547","54.19129943847656","54.19129943847656","54.19129943847656","45.74656677246094","45.74656677246094","45.74656677246094","42.4900016784668","42.4900016784668","42.4900016784668"
"61","41.357147216796875","41.357147216796875","41.357147216796875","43.108917236328125","43.108917236328125","43.108917236328125","31.26702117919922","31.26702117919922","31.26702117919922","44.3933219909668","44.3933219909668","44.3933219909668","40.19219970703125","40.19219970703125","40.19219970703125","43.349998474121094","43.349998474121094","43.349998474121094"
"62","37.720733642578125","37.720733642578125","37.720733642578125","38.26210021972656","38.26210021972656","38.26210021972656","32.12275314331055","32.12275314331055","32.12275314331055","40.61922073364258","40.61922073364258","40.61922073364258","36.486263275146484","36.486263275146484","36.486263275146484","38.04999923706055","38.04999923706055","38.04999923706055"
"63","34.74877166748047","34.74877166748047","34.74877166748047","35.18931579589844","35.18931579589844","35.18931579589844","30.571613311767578","30.571613311767578","30.571613311767578","37.495540618896484","37.495540618896484","37.495540618896484","33.12272262573242","33.12272262573242","33.12272262573242","34.84000015258789","34.84000015258789","34.84000015258789"
"64","32.068790435791016","32.068790435791016","32.068790435791016","34.36396026611328","34.36396026611328","34.36396026611328","29.224523544311523","29.224523544311523","29.224523544311523","34.29307174682617","34.29307174682617","34.29307174682617","30.002735137939453","30.002735137939453","30.002735137939453","32.16999816894531","32.16999816894531","32.16999816894531"
"65","26.309648513793945","26.309648513793945","26.309648513793945","29.4888858795166","29.4888858795166","29.4888858795166","25.47213363647461","25.47213363647461","25.47213363647461","28.459972381591797","28.459972381591797","28.459972381591797","27.378318786621094","27.378318786621094","27.378318786621094","30.809999465942383","30.809999465942383","30.809999465942383"
"66","24.66593360900879","24.66593360900879","24.66593360900879","28.407512664794922","28.407512664794922","28.407512664794922","24.953319549560547","24.953319549560547","24.953319549560547","27.437776565551758","27.437776565551758","27.437776565551758","27.03660011291504","27.03660011291504","27.03660011291504","27.09000015258789","27.09000015258789","27.09000015258789"
"67","24.540061950683594","24.540061950683594","24.540061950683594","28.637805938720703","28.637805938720703","28.637805938720703","24.416929244995117","24.416929244995117","24.416929244995117","27.079614639282227","27.079614639282227","27.079614639282227","26.777002334594727","26.777002334594727","26.777002334594727","25.40999984741211","25.40999984741211","25.40999984741211"
"68","25.097497940063477","25.097497940063477","25.097497940063477","29.715303421020508","29.715303421020508","29.715303421020508","24.689664840698242","24.689664840698242","24.689664840698242","27.622596740722656","27.622596740722656","27.622596740722656","27.55103302001953","27.55103302001953","27.55103302001953","25.6200008392334","25.6200008392334","25.6200008392334"
"69","26.951627731323242","26.951627731323242","26.951627731323242","30.886323928833008","30.886323928833008","30.886323928833008","25.70145606994629","25.70145606994629","25.70145606994629","27.855667114257812","27.855667114257812","27.855667114257812","28.96014404296875","28.96014404296875","28.96014404296875","27.049999237060547","27.049999237060547","27.049999237060547"
"70","27.42212677001953","27.42212677001953","27.42212677001953","30.71316146850586","30.71316146850586","30.71316146850586","26.5914249420166","26.5914249420166","26.5914249420166","27.490570068359375","27.490570068359375","27.490570068359375","29.04570960998535","29.04570960998535","29.04570960998535","28.200000762939453","28.200000762939453","28.200000762939453"
"71","26.75759506225586","26.75759506225586","26.75759506225586","29.196887969970703","29.196887969970703","29.196887969970703","24.978317260742188","24.978317260742188","24.978317260742188","28.14098358154297","28.14098358154297","28.14098358154297","26.836654663085938","26.836654663085938","26.836654663085938","31.31999969482422","31.31999969482422","31.31999969482422"
"72","28.501354217529297","28.501354217529297","28.501354217529297","26.789804458618164","26.789804458618164","26.789804458618164","26.31624984741211","26.31624984741211","26.31624984741211","36.44972229003906","36.44972229003906","36.44972229003906","32.370670318603516","32.370670318603516","32.370670318603516","36.560001373291016","36.560001373291016","36.560001373291016"
"73","26.2912654876709","26.2912654876709","26.2912654876709","26.999156951904297","26.999156951904297","26.999156951904297","26.98823356628418","26.98823356628418","26.98823356628418","35.83811569213867","35.83811569213867","35.83811569213867","32.75481033325195","32.75481033325195","32.75481033325195","23.579999923706055","23.579999923706055","23.579999923706055"
"74","24.342357635498047","24.342357635498047","24.342357635498047","24.11334228515625","24.11334228515625","24.11334228515625","27.44068145751953","27.44068145751953","27.44068145751953","33.337486267089844","33.337486267089844","33.337486267089844","32.529659271240234","32.529659271240234","32.529659271240234","21.899999618530273","21.899999618530273","21.899999618530273"
"75","25.189058303833008","25.189058303833008","25.189058303833008","18.86988067626953","18.86988067626953","18.86988067626953","24.76707649230957","24.76707649230957","24.76707649230957","31.833559036254883","31.833559036254883","31.833559036254883","28.84012794494629","28.84012794494629","28.84012794494629","18.950000762939453","18.950000762939453","18.950000762939453"
"76","21.945770263671875","21.945770263671875","21.945770263671875","15.89027214050293","15.89027214050293","15.89027214050293","20.86697006225586","20.86697006225586","20.86697006225586","26.67869758605957","26.67869758605957","26.67869758605957","23.54274559020996","23.54274559020996","23.54274559020996","24.200000762939453","24.200000762939453","24.200000762939453"
"77","21.06749153137207","21.06749153137207","21.06749153137207","16.401134490966797","16.401134490966797","16.401134490966797","17.702356338500977","17.702356338500977","17.702356338500977","22.854366302490234","22.854366302490234","22.854366302490234","23.25337028503418","23.25337028503418","23.25337028503418","23.360000610351562","23.360000610351562","23.360000610351562"
"78","21.2792911529541","21.2792911529541","21.2792911529541","17.954504013061523","17.954504013061523","17.954504013061523","16.5330867767334","16.5330867767334","16.5330867767334","21.4908504486084","21.4908504486084","21.4908504486084","25.053068161010742","25.053068161010742","25.053068161010742","19.940000534057617","19.940000534057617","19.940000534057617"
"79","24.047548294067383","24.047548294067383","24.047548294067383","19.774253845214844","19.774253845214844","19.774253845214844","18.820676803588867","18.820676803588867","18.820676803588867","21.357778549194336","21.357778549194336","21.357778549194336","27.969797134399414","27.969797134399414","27.969797134399414","21.8799991607666","21.8799991607666","21.8799991607666"
"80","25.44256591796875","25.44256591796875","25.44256591796875","22.898223876953125","22.898223876953125","22.898223876953125","21.486921310424805","21.486921310424805","21.486921310424805","21.147518157958984","21.147518157958984","21.147518157958984","29.000476837158203","29.000476837158203","29.000476837158203","23.479999542236328","23.479999542236328","23.479999542236328"
"81","30.182437896728516","30.182437896728516","30.182437896728516","28.743610382080078","28.743610382080078","28.743610382080078","25.889760971069336","25.889760971069336","25.889760971069336","22.440298080444336","22.440298080444336","22.440298080444336","33.509151458740234","33.509151458740234","33.509151458740234","30.549999237060547","30.549999237060547","30.549999237060547"
"82","49.651859283447266","49.651859283447266","49.651859283447266","39.13094711303711","39.13094711303711","39.13094711303711","46.732688903808594","46.732688903808594","46.732688903808594","45.587772369384766","45.587772369384766","45.587772369384766","38.42976760864258","38.42976760864258","38.42976760864258","41.61000061035156","41.61000061035156","41.61000061035156"
"83","46.38323211669922","46.38323211669922","46.38323211669922","36.4735107421875","36.4735107421875","36.4735107421875","55.2988166809082","55.2988166809082","55.2988166809082","47.37915802001953","47.37915802001953","47.37915802001953","40.593780517578125","40.593780517578125","40.593780517578125","40.97999954223633","40.97999954223633","40.97999954223633"
"84","38.74443054199219","38.74443054199219","38.74443054199219","33.636024475097656","33.636024475097656","33.636024475097656","46.93026351928711","46.93026351928711","46.93026351928711","35.18208694458008","35.18208694458008","35.18208694458008","38.66936111450195","38.66936111450195","38.66936111450195","40.61000061035156","40.61000061035156","40.61000061035156"
