"Step","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: ZP26__MAX"
"10","16.583118438720703","16.583118438720703","16.583118438720703","16.723426818847656","16.723426818847656","16.723426818847656","16.658674240112305","16.658674240112305","16.658674240112305","16.541629791259766","16.541629791259766","16.541629791259766","14.961721420288086","14.961721420288086","14.961721420288086","14.15999984741211","14.15999984741211","14.15999984741211"
"11","16.487764358520508","16.487764358520508","16.487764358520508","16.664871215820312","16.664871215820312","16.664871215820312","15.024139404296875","15.024139404296875","15.024139404296875","16.54696273803711","16.54696273803711","16.54696273803711","14.227899551391602","14.227899551391602","14.227899551391602","12.979999542236328","12.979999542236328","12.979999542236328"
"12","16.157352447509766","16.157352447509766","16.157352447509766","16.1904354095459","16.1904354095459","16.1904354095459","14.299247741699219","14.299247741699219","14.299247741699219","16.173843383789062","16.173843383789062","16.173843383789062","14.033288955688477","14.033288955688477","14.033288955688477","15.520000457763672","15.520000457763672","15.520000457763672"
"13","15.659235000610352","15.659235000610352","15.659235000610352","15.652101516723633","15.652101516723633","15.652101516723633","12.98400592803955","12.98400592803955","12.98400592803955","15.666766166687012","15.666766166687012","15.666766166687012","13.371386528015137","13.371386528015137","13.371386528015137","14.789999961853027","14.789999961853027","14.789999961853027"
"14","15.201216697692871","15.201216697692871","15.201216697692871","15.146467208862305","15.146467208862305","15.146467208862305","12.842076301574707","12.842076301574707","12.842076301574707","15.148743629455566","15.148743629455566","15.148743629455566","13.81059455871582","13.81059455871582","13.81059455871582","14.529999732971191","14.529999732971191","14.529999732971191"
"15","14.725923538208008","14.725923538208008","14.725923538208008","14.681438446044922","14.681438446044922","14.681438446044922","13.542080879211426","13.542080879211426","13.542080879211426","14.581971168518066","14.581971168518066","14.581971168518066","14.51183795928955","14.51183795928955","14.51183795928955","14.279999732971191","14.279999732971191","14.279999732971191"
"16","14.317305564880371","14.317305564880371","14.317305564880371","14.144695281982422","14.144695281982422","14.144695281982422","15.542864799499512","15.542864799499512","15.542864799499512","14.042171478271484","14.042171478271484","14.042171478271484","16.9737491607666","16.9737491607666","16.9737491607666","14.579999923706055","14.579999923706055","14.579999923706055"
"17","13.872737884521484","13.872737884521484","13.872737884521484","13.684586524963379","13.684586524963379","13.684586524963379","18.3392391204834","18.3392391204834","18.3392391204834","13.540801048278809","13.540801048278809","13.540801048278809","19.752878189086914","19.752878189086914","19.752878189086914","16.399999618530273","16.399999618530273","16.399999618530273"
"18","13.463913917541504","13.463913917541504","13.463913917541504","13.308684349060059","13.308684349060059","13.308684349060059","18.062253952026367","18.062253952026367","18.062253952026367","13.063624382019043","13.063624382019043","13.063624382019043","18.407960891723633","18.407960891723633","18.407960891723633","19.600000381469727","19.600000381469727","19.600000381469727"
"19","13.034393310546875","13.034393310546875","13.034393310546875","12.992095947265625","12.992095947265625","12.992095947265625","14.588597297668457","14.588597297668457","14.588597297668457","12.638054847717285","12.638054847717285","12.638054847717285","13.977066040039062","13.977066040039062","13.977066040039062","19.8700008392334","19.8700008392334","19.8700008392334"
"20","12.759008407592773","12.759008407592773","12.759008407592773","12.639087677001953","12.639087677001953","12.639087677001953","11.412226676940918","11.412226676940918","11.412226676940918","12.360154151916504","12.360154151916504","12.360154151916504","11.54123592376709","11.54123592376709","11.54123592376709","13.920000076293945","13.920000076293945","13.920000076293945"
"21","12.44062614440918","12.44062614440918","12.44062614440918","12.445159912109375","12.445159912109375","12.445159912109375","10.178004264831543","10.178004264831543","10.178004264831543","12.087742805480957","12.087742805480957","12.087742805480957","10.052398681640625","10.052398681640625","10.052398681640625","11.329999923706055","11.329999923706055","11.329999923706055"
"22","12.279792785644531","12.279792785644531","12.279792785644531","12.312419891357422","12.312419891357422","12.312419891357422","9.594071388244629","9.594071388244629","9.594071388244629","11.866448402404785","11.866448402404785","11.866448402404785","9.91535758972168","9.91535758972168","9.91535758972168","10.15999984741211","10.15999984741211","10.15999984741211"
"23","12.164048194885254","12.164048194885254","12.164048194885254","11.893157005310059","11.893157005310059","11.893157005310059","9.337089538574219","9.337089538574219","9.337089538574219","11.903838157653809","11.903838157653809","11.903838157653809","10.311430931091309","10.311430931091309","10.311430931091309","11.100000381469727","11.100000381469727","11.100000381469727"
"24","12.096700668334961","12.096700668334961","12.096700668334961","9.736573219299316","9.736573219299316","9.736573219299316","7.222841262817383","7.222841262817383","7.222841262817383","10.541976928710938","10.541976928710938","10.541976928710938","11.52011489868164","11.52011489868164","11.52011489868164","11.550000190734863","11.550000190734863","11.550000190734863"
"25","12.690225601196289","12.690225601196289","12.690225601196289","9.914084434509277","9.914084434509277","9.914084434509277","6.841347694396973","6.841347694396973","6.841347694396973","10.440677642822266","10.440677642822266","10.440677642822266","11.994010925292969","11.994010925292969","11.994010925292969","9.260000228881836","9.260000228881836","9.260000228881836"
"26","16.705833435058594","16.705833435058594","16.705833435058594","11.49400520324707","11.49400520324707","11.49400520324707","8.231178283691406","8.231178283691406","8.231178283691406","11.175054550170898","11.175054550170898","11.175054550170898","14.280447959899902","14.280447959899902","14.280447959899902","8.649999618530273","8.649999618530273","8.649999618530273"
"27","23.577119827270508","23.577119827270508","23.577119827270508","15.091084480285645","15.091084480285645","15.091084480285645","13.98035717010498","13.98035717010498","13.98035717010498","13.409252166748047","13.409252166748047","13.409252166748047","19.383649826049805","19.383649826049805","19.383649826049805","10.90999984741211","10.90999984741211","10.90999984741211"
"28","26.980113983154297","26.980113983154297","26.980113983154297","21.02003288269043","21.02003288269043","21.02003288269043","25.726511001586914","25.726511001586914","25.726511001586914","19.29492950439453","19.29492950439453","19.29492950439453","25.95536994934082","25.95536994934082","25.95536994934082","19.309999465942383","19.309999465942383","19.309999465942383"
"29","24.245006561279297","24.245006561279297","24.245006561279297","22.31726837158203","22.31726837158203","22.31726837158203","26.097461700439453","26.097461700439453","26.097461700439453","20.3377628326416","20.3377628326416","20.3377628326416","23.11107063293457","23.11107063293457","23.11107063293457","27.68000030517578","27.68000030517578","27.68000030517578"
"30","22.169769287109375","22.169769287109375","22.169769287109375","20.948938369750977","20.948938369750977","20.948938369750977","25.248981475830078","25.248981475830078","25.248981475830078","19.265840530395508","19.265840530395508","19.265840530395508","21.45701789855957","21.45701789855957","21.45701789855957","20.719999313354492","20.719999313354492","20.719999313354492"
"31","18.555208206176758","18.555208206176758","18.555208206176758","18.753461837768555","18.753461837768555","18.753461837768555","22.7147274017334","22.7147274017334","22.7147274017334","17.82094955444336","17.82094955444336","17.82094955444336","18.666765213012695","18.666765213012695","18.666765213012695","15.09000015258789","15.09000015258789","15.09000015258789"
"32","16.084182739257812","16.084182739257812","16.084182739257812","14.900419235229492","14.900419235229492","14.900419235229492","16.799089431762695","16.799089431762695","16.799089431762695","14.999473571777344","14.999473571777344","14.999473571777344","15.593366622924805","15.593366622924805","15.593366622924805","13.25","13.25","13.25"
"33","14.728523254394531","14.728523254394531","14.728523254394531","14.024944305419922","14.024944305419922","14.024944305419922","14.632062911987305","14.632062911987305","14.632062911987305","14.305564880371094","14.305564880371094","14.305564880371094","14.13458251953125","14.13458251953125","14.13458251953125","13.529999732971191","13.529999732971191","13.529999732971191"
"34","13.666011810302734","13.666011810302734","13.666011810302734","13.505485534667969","13.505485534667969","13.505485534667969","13.212414741516113","13.212414741516113","13.212414741516113","13.98878288269043","13.98878288269043","13.98878288269043","13.446985244750977","13.446985244750977","13.446985244750977","12.720000267028809","12.720000267028809","12.720000267028809"
"35","13.405488967895508","13.405488967895508","13.405488967895508","12.957990646362305","12.957990646362305","12.957990646362305","12.529669761657715","12.529669761657715","12.529669761657715","13.509489059448242","13.509489059448242","13.509489059448242","13.477745056152344","13.477745056152344","13.477745056152344","12.050000190734863","12.050000190734863","12.050000190734863"
"36","13.87989616394043","13.87989616394043","13.87989616394043","12.38058090209961","12.38058090209961","12.38058090209961","12.332826614379883","12.332826614379883","12.332826614379883","12.457723617553711","12.457723617553711","12.457723617553711","13.373144149780273","13.373144149780273","13.373144149780273","13.600000381469727","13.600000381469727","13.600000381469727"
"37","16.50872802734375","16.50872802734375","16.50872802734375","11.394367218017578","11.394367218017578","11.394367218017578","13.373632431030273","13.373632431030273","13.373632431030273","11.552138328552246","11.552138328552246","11.552138328552246","12.493803977966309","12.493803977966309","12.493803977966309","13.34000015258789","13.34000015258789","13.34000015258789"
"38","16.15745735168457","16.15745735168457","16.15745735168457","10.899076461791992","10.899076461791992","10.899076461791992","13.760245323181152","13.760245323181152","13.760245323181152","11.088574409484863","11.088574409484863","11.088574409484863","12.218192100524902","12.218192100524902","12.218192100524902","16.350000381469727","16.350000381469727","16.350000381469727"
"39","12.294050216674805","12.294050216674805","12.294050216674805","10.410432815551758","10.410432815551758","10.410432815551758","12.932825088500977","12.932825088500977","12.932825088500977","10.562469482421875","10.562469482421875","10.562469482421875","10.995494842529297","10.995494842529297","10.995494842529297","15.239999771118164","15.239999771118164","15.239999771118164"
"40","10.373912811279297","10.373912811279297","10.373912811279297","9.96181869506836","9.96181869506836","9.96181869506836","10.935794830322266","10.935794830322266","10.935794830322266","10.005537033081055","10.005537033081055","10.005537033081055","10.148344993591309","10.148344993591309","10.148344993591309","11.180000305175781","11.180000305175781","11.180000305175781"
"41","9.345630645751953","9.345630645751953","9.345630645751953","9.806526184082031","9.806526184082031","9.806526184082031","9.158673286437988","9.158673286437988","9.158673286437988","9.443912506103516","9.443912506103516","9.443912506103516","9.432687759399414","9.432687759399414","9.432687759399414","9.539999961853027","9.539999961853027","9.539999961853027"
"42","8.713942527770996","8.713942527770996","8.713942527770996","9.581050872802734","9.581050872802734","9.581050872802734","8.31410026550293","8.31410026550293","8.31410026550293","8.790281295776367","8.790281295776367","8.790281295776367","9.079784393310547","9.079784393310547","9.079784393310547","6.739999771118164","6.739999771118164","6.739999771118164"
"43","7.890257835388184","7.890257835388184","7.890257835388184","7.919425964355469","7.919425964355469","7.919425964355469","7.543256759643555","7.543256759643555","7.543256759643555","7.4578704833984375","7.4578704833984375","7.4578704833984375","7.752336502075195","7.752336502075195","7.752336502075195","7.03000020980835","7.03000020980835","7.03000020980835"
"44","7.6161723136901855","7.6161723136901855","7.6161723136901855","7.4127197265625","7.4127197265625","7.4127197265625","5.960513114929199","5.960513114929199","5.960513114929199","6.789284706115723","6.789284706115723","6.789284706115723","7.413280487060547","7.413280487060547","7.413280487060547","3.880000114440918","3.880000114440918","3.880000114440918"
"45","7.649190425872803","7.649190425872803","7.649190425872803","8.439329147338867","8.439329147338867","8.439329147338867","5.635302543640137","5.635302543640137","5.635302543640137","7.489562034606934","7.489562034606934","7.489562034606934","7.999073028564453","7.999073028564453","7.999073028564453","1.090000033378601","1.090000033378601","1.090000033378601"
"46","9.124732971191406","9.124732971191406","9.124732971191406","10.703993797302246","10.703993797302246","10.703993797302246","5.542140960693359","5.542140960693359","5.542140960693359","9.487187385559082","9.487187385559082","9.487187385559082","8.831236839294434","8.831236839294434","8.831236839294434","8.449999809265137","8.449999809265137","8.449999809265137"
"47","15.210346221923828","15.210346221923828","15.210346221923828","15.029585838317871","15.029585838317871","15.029585838317871","9.199894905090332","9.199894905090332","9.199894905090332","14.078470230102539","14.078470230102539","14.078470230102539","14.732364654541016","14.732364654541016","14.732364654541016","16.149999618530273","16.149999618530273","16.149999618530273"
"48","23.787805557250977","23.787805557250977","23.787805557250977","22.23200035095215","22.23200035095215","22.23200035095215","24.503398895263672","24.503398895263672","24.503398895263672","21.9183349609375","21.9183349609375","21.9183349609375","22.475818634033203","22.475818634033203","22.475818634033203","21.239999771118164","21.239999771118164","21.239999771118164"
"49","21.719823837280273","21.719823837280273","21.719823837280273","28.470151901245117","28.470151901245117","28.470151901245117","26.583175659179688","26.583175659179688","26.583175659179688","21.429340362548828","21.429340362548828","21.429340362548828","32.21658706665039","32.21658706665039","32.21658706665039","28.450000762939453","28.450000762939453","28.450000762939453"
"50","21.75867462158203","21.75867462158203","21.75867462158203","29.535888671875","29.535888671875","29.535888671875","23.826183319091797","23.826183319091797","23.826183319091797","20.659774780273438","20.659774780273438","20.659774780273438","26.98020362854004","26.98020362854004","26.98020362854004","23.239999771118164","23.239999771118164","23.239999771118164"
"51","19.206111907958984","19.206111907958984","19.206111907958984","30.092395782470703","30.092395782470703","30.092395782470703","20.032413482666016","20.032413482666016","20.032413482666016","20.469266891479492","20.469266891479492","20.469266891479492","25.128868103027344","25.128868103027344","25.128868103027344","17.899999618530273","17.899999618530273","17.899999618530273"
"52","17.346521377563477","17.346521377563477","17.346521377563477","27.394916534423828","27.394916534423828","27.394916534423828","17.718463897705078","17.718463897705078","17.718463897705078","20.127687454223633","20.127687454223633","20.127687454223633","21.144447326660156","21.144447326660156","21.144447326660156","18.59000015258789","18.59000015258789","18.59000015258789"
"53","15.601877212524414","15.601877212524414","15.601877212524414","22.295536041259766","22.295536041259766","22.295536041259766","16.387615203857422","16.387615203857422","16.387615203857422","19.21744155883789","19.21744155883789","19.21744155883789","17.329296112060547","17.329296112060547","17.329296112060547","19.1299991607666","19.1299991607666","19.1299991607666"
"54","14.541752815246582","14.541752815246582","14.541752815246582","19.716609954833984","19.716609954833984","19.716609954833984","14.699570655822754","14.699570655822754","14.699570655822754","17.723337173461914","17.723337173461914","17.723337173461914","16.040090560913086","16.040090560913086","16.040090560913086","15.890000343322754","15.890000343322754","15.890000343322754"
"55","14.047975540161133","14.047975540161133","14.047975540161133","17.177671432495117","17.177671432495117","17.177671432495117","13.984323501586914","13.984323501586914","13.984323501586914","16.695432662963867","16.695432662963867","16.695432662963867","15.636869430541992","15.636869430541992","15.636869430541992","14.420000076293945","14.420000076293945","14.420000076293945"
"56","13.594070434570312","13.594070434570312","13.594070434570312","14.892722129821777","14.892722129821777","14.892722129821777","13.754621505737305","13.754621505737305","13.754621505737305","14.930569648742676","14.930569648742676","14.930569648742676","15.175512313842773","15.175512313842773","15.175512313842773","15.3100004196167","15.3100004196167","15.3100004196167"
"57","13.283552169799805","13.283552169799805","13.283552169799805","14.134135246276855","14.134135246276855","14.134135246276855","13.132171630859375","13.132171630859375","13.132171630859375","14.242172241210938","14.242172241210938","14.242172241210938","14.345179557800293","14.345179557800293","14.345179557800293","15.890000343322754","15.890000343322754","15.890000343322754"
"58","13.224678039550781","13.224678039550781","13.224678039550781","13.889477729797363","13.889477729797363","13.889477729797363","12.94165325164795","12.94165325164795","12.94165325164795","14.000837326049805","14.000837326049805","14.000837326049805","14.348246574401855","14.348246574401855","14.348246574401855","15","15","15"
"59","13.410126686096191","13.410126686096191","13.410126686096191","14.333975791931152","14.333975791931152","14.333975791931152","13.070072174072266","13.070072174072266","13.070072174072266","14.333598136901855","14.333598136901855","14.333598136901855","14.639028549194336","14.639028549194336","14.639028549194336","14.869999885559082","14.869999885559082","14.869999885559082"
"60","14.435208320617676","14.435208320617676","14.435208320617676","16.101760864257812","16.101760864257812","16.101760864257812","14.5203218460083","14.5203218460083","14.5203218460083","15.66011905670166","15.66011905670166","15.66011905670166","15.793804168701172","15.793804168701172","15.793804168701172","16.280000686645508","16.280000686645508","16.280000686645508"
"61","16.900531768798828","16.900531768798828","16.900531768798828","20.18858528137207","20.18858528137207","20.18858528137207","18.292675018310547","18.292675018310547","18.292675018310547","18.343645095825195","18.343645095825195","18.343645095825195","18.217910766601562","18.217910766601562","18.217910766601562","19.440000534057617","19.440000534057617","19.440000534057617"
"62","23.119577407836914","23.119577407836914","23.119577407836914","23.854280471801758","23.854280471801758","23.854280471801758","24.136470794677734","24.136470794677734","24.136470794677734","25.114900588989258","25.114900588989258","25.114900588989258","22.45038604736328","22.45038604736328","22.45038604736328","26.889999389648438","26.889999389648438","26.889999389648438"
"63","23.316495895385742","23.316495895385742","23.316495895385742","24.18886947631836","24.18886947631836","24.18886947631836","23.669334411621094","23.669334411621094","23.669334411621094","28.652851104736328","28.652851104736328","28.652851104736328","25.979026794433594","25.979026794433594","25.979026794433594","33.369998931884766","33.369998931884766","33.369998931884766"
"64","18.400226593017578","18.400226593017578","18.400226593017578","18.450063705444336","18.450063705444336","18.450063705444336","16.854042053222656","16.854042053222656","16.854042053222656","26.360387802124023","26.360387802124023","26.360387802124023","21.045475006103516","21.045475006103516","21.045475006103516","20.18000030517578","20.18000030517578","20.18000030517578"
"65","15.262167930603027","15.262167930603027","15.262167930603027","13.788544654846191","13.788544654846191","13.788544654846191","11.77380657196045","11.77380657196045","11.77380657196045","18.910184860229492","18.910184860229492","18.910184860229492","16.184078216552734","16.184078216552734","16.184078216552734","14.260000228881836","14.260000228881836","14.260000228881836"
"66","14.55739974975586","14.55739974975586","14.55739974975586","11.737957954406738","11.737957954406738","11.737957954406738","10.402860641479492","10.402860641479492","10.402860641479492","14.578984260559082","14.578984260559082","14.578984260559082","13.643988609313965","13.643988609313965","13.643988609313965","14.029999732971191","14.029999732971191","14.029999732971191"
"67","13.024495124816895","13.024495124816895","13.024495124816895","10.83740520477295","10.83740520477295","10.83740520477295","10.0792875289917","10.0792875289917","10.0792875289917","13.302438735961914","13.302438735961914","13.302438735961914","12.479721069335938","12.479721069335938","12.479721069335938","13.369999885559082","13.369999885559082","13.369999885559082"
"68","12.380721092224121","12.380721092224121","12.380721092224121","10.835261344909668","10.835261344909668","10.835261344909668","8.71924877166748","8.71924877166748","8.71924877166748","12.187248229980469","12.187248229980469","12.187248229980469","11.608345031738281","11.608345031738281","11.608345031738281","13.350000381469727","13.350000381469727","13.350000381469727"
"69","12.342127799987793","12.342127799987793","12.342127799987793","11.328513145446777","11.328513145446777","11.328513145446777","8.083078384399414","8.083078384399414","8.083078384399414","11.859537124633789","11.859537124633789","11.859537124633789","12.151191711425781","12.151191711425781","12.151191711425781","13.119999885559082","13.119999885559082","13.119999885559082"
"70","12.083080291748047","12.083080291748047","12.083080291748047","12.122528076171875","12.122528076171875","12.122528076171875","8.953409194946289","8.953409194946289","8.953409194946289","12.160130500793457","12.160130500793457","12.160130500793457","13.323768615722656","13.323768615722656","13.323768615722656","15.479999542236328","15.479999542236328","15.479999542236328"
"71","12.894800186157227","12.894800186157227","12.894800186157227","13.795619010925293","13.795619010925293","13.795619010925293","11.817740440368652","11.817740440368652","11.817740440368652","13.318401336669922","13.318401336669922","13.318401336669922","15.312169075012207","15.312169075012207","15.312169075012207","16.459999084472656","16.459999084472656","16.459999084472656"
"72","18.936195373535156","18.936195373535156","18.936195373535156","19.861814498901367","19.861814498901367","19.861814498901367","19.33087921142578","19.33087921142578","19.33087921142578","13.474583625793457","13.474583625793457","13.474583625793457","17.629657745361328","17.629657745361328","17.629657745361328","23.950000762939453","23.950000762939453","23.950000762939453"
"73","25.297861099243164","25.297861099243164","25.297861099243164","27.26158332824707","27.26158332824707","27.26158332824707","29.35906410217285","29.35906410217285","29.35906410217285","19.94444465637207","19.94444465637207","19.94444465637207","28.570636749267578","28.570636749267578","28.570636749267578","26.09000015258789","26.09000015258789","26.09000015258789"
"74","29.05054473876953","29.05054473876953","29.05054473876953","25.66567611694336","25.66567611694336","25.66567611694336","35.429420471191406","35.429420471191406","35.429420471191406","28.884157180786133","28.884157180786133","28.884157180786133","35.21946716308594","35.21946716308594","35.21946716308594","25.649999618530273","25.649999618530273","25.649999618530273"
"75","28.375017166137695","28.375017166137695","28.375017166137695","24.439619064331055","24.439619064331055","24.439619064331055","35.73720169067383","35.73720169067383","35.73720169067383","29.070985794067383","29.070985794067383","29.070985794067383","32.96506118774414","32.96506118774414","32.96506118774414","26.25","26.25","26.25"
"76","25.659082412719727","25.659082412719727","25.659082412719727","20.09026336669922","20.09026336669922","20.09026336669922","31.775314331054688","31.775314331054688","31.775314331054688","25.571977615356445","25.571977615356445","25.571977615356445","31.940229415893555","31.940229415893555","31.940229415893555","23.18000030517578","23.18000030517578","23.18000030517578"
"77","21.49815559387207","21.49815559387207","21.49815559387207","19.143997192382812","19.143997192382812","19.143997192382812","27.62637710571289","27.62637710571289","27.62637710571289","23.021366119384766","23.021366119384766","23.021366119384766","26.340576171875","26.340576171875","26.340576171875","21.979999542236328","21.979999542236328","21.979999542236328"
"78","17.474084854125977","17.474084854125977","17.474084854125977","15.559082984924316","15.559082984924316","15.559082984924316","22.956741333007812","22.956741333007812","22.956741333007812","18.435827255249023","18.435827255249023","18.435827255249023","19.09573745727539","19.09573745727539","19.09573745727539","18.940000534057617","18.940000534057617","18.940000534057617"
"79","15.45276165008545","15.45276165008545","15.45276165008545","14.51650333404541","14.51650333404541","14.51650333404541","18.030319213867188","18.030319213867188","18.030319213867188","15.451576232910156","15.451576232910156","15.451576232910156","15.74444580078125","15.74444580078125","15.74444580078125","16.43000030517578","16.43000030517578","16.43000030517578"
"80","14.414137840270996","14.414137840270996","14.414137840270996","13.89960765838623","13.89960765838623","13.89960765838623","16.59881019592285","16.59881019592285","16.59881019592285","14.66025161743164","14.66025161743164","14.66025161743164","15.933069229125977","15.933069229125977","15.933069229125977","13.899999618530273","13.899999618530273","13.899999618530273"
"81","14.041470527648926","14.041470527648926","14.041470527648926","13.797135353088379","13.797135353088379","13.797135353088379","15.445944786071777","15.445944786071777","15.445944786071777","13.766559600830078","13.766559600830078","13.766559600830078","15.31716537475586","15.31716537475586","15.31716537475586","14.050000190734863","14.050000190734863","14.050000190734863"
"82","13.793646812438965","13.793646812438965","13.793646812438965","13.81227970123291","13.81227970123291","13.81227970123291","15.273462295532227","15.273462295532227","15.273462295532227","14.009129524230957","14.009129524230957","14.009129524230957","15.768959045410156","15.768959045410156","15.768959045410156","13.880000114440918","13.880000114440918","13.880000114440918"
"83","14.173295021057129","14.173295021057129","14.173295021057129","14.55859661102295","14.55859661102295","14.55859661102295","15.69119644165039","15.69119644165039","15.69119644165039","15.370828628540039","15.370828628540039","15.370828628540039","17.16910743713379","17.16910743713379","17.16910743713379","13.869999885559082","13.869999885559082","13.869999885559082"
