"Step","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: ZP26__MAX"
"18","12.568913459777832","12.568913459777832","12.568913459777832","12.374582290649414","12.374582290649414","12.374582290649414","12.257403373718262","12.257403373718262","12.257403373718262","11.401698112487793","11.401698112487793","11.401698112487793","11.752909660339355","11.752909660339355","11.752909660339355","5.019999980926514","5.019999980926514","5.019999980926514"
"19","11.005179405212402","11.005179405212402","11.005179405212402","10.221617698669434","10.221617698669434","10.221617698669434","10.412308692932129","10.412308692932129","10.412308692932129","9.952316284179688","9.952316284179688","9.952316284179688","9.981011390686035","9.981011390686035","9.981011390686035","2.8499999046325684","2.8499999046325684","2.8499999046325684"
"20","10.145587921142578","10.145587921142578","10.145587921142578","9.79215145111084","9.79215145111084","9.79215145111084","9.642459869384766","9.642459869384766","9.642459869384766","8.797849655151367","8.797849655151367","8.797849655151367","9.164908409118652","9.164908409118652","9.164908409118652","2.799999952316284","2.799999952316284","2.799999952316284"
"21","10.097153663635254","10.097153663635254","10.097153663635254","9.62147045135498","9.62147045135498","9.62147045135498","9.127055168151855","9.127055168151855","9.127055168151855","8.792469024658203","8.792469024658203","8.792469024658203","8.946747779846191","8.946747779846191","8.946747779846191","3.6500000953674316","3.6500000953674316","3.6500000953674316"
"22","10.601402282714844","10.601402282714844","10.601402282714844","9.750469207763672","9.750469207763672","9.750469207763672","8.628924369812012","8.628924369812012","8.628924369812012","9.519087791442871","9.519087791442871","9.519087791442871","9.356836318969727","9.356836318969727","9.356836318969727","8.869999885559082","8.869999885559082","8.869999885559082"
"23","11.243035316467285","11.243035316467285","11.243035316467285","11.251886367797852","11.251886367797852","11.251886367797852","8.708794593811035","8.708794593811035","8.708794593811035","10.050532341003418","10.050532341003418","10.050532341003418","9.964014053344727","9.964014053344727","9.964014053344727","9.270000457763672","9.270000457763672","9.270000457763672"
"24","13.638167381286621","13.638167381286621","13.638167381286621","13.284069061279297","13.284069061279297","13.284069061279297","11.753146171569824","11.753146171569824","11.753146171569824","12.948908805847168","12.948908805847168","12.948908805847168","12.355291366577148","12.355291366577148","12.355291366577148","11.789999961853027","11.789999961853027","11.789999961853027"
"25","18.894084930419922","18.894084930419922","18.894084930419922","17.466114044189453","17.466114044189453","17.466114044189453","15.687845230102539","15.687845230102539","15.687845230102539","16.309202194213867","16.309202194213867","16.309202194213867","16.001195907592773","16.001195907592773","16.001195907592773","18.290000915527344","18.290000915527344","18.290000915527344"
"26","25.229419708251953","25.229419708251953","25.229419708251953","22.842309951782227","22.842309951782227","22.842309951782227","21.210243225097656","21.210243225097656","21.210243225097656","21.207496643066406","21.207496643066406","21.207496643066406","21.501327514648438","21.501327514648438","21.501327514648438","24.389999389648438","24.389999389648438","24.389999389648438"
"27","27.16753578186035","27.16753578186035","27.16753578186035","24.15774154663086","24.15774154663086","24.15774154663086","24.58953285217285","24.58953285217285","24.58953285217285","24.732519149780273","24.732519149780273","24.732519149780273","25.113157272338867","25.113157272338867","25.113157272338867","38.47999954223633","38.47999954223633","38.47999954223633"
"28","22.5860595703125","22.5860595703125","22.5860595703125","21.78885269165039","21.78885269165039","21.78885269165039","23.513851165771484","23.513851165771484","23.513851165771484","23.779695510864258","23.779695510864258","23.779695510864258","22.84185028076172","22.84185028076172","22.84185028076172","26.170000076293945","26.170000076293945","26.170000076293945"
"29","20.197961807250977","20.197961807250977","20.197961807250977","19.16615867614746","19.16615867614746","19.16615867614746","21.244829177856445","21.244829177856445","21.244829177856445","22.049848556518555","22.049848556518555","22.049848556518555","20.747940063476562","20.747940063476562","20.747940063476562","24.06999969482422","24.06999969482422","24.06999969482422"
"30","17.383867263793945","17.383867263793945","17.383867263793945","16.175283432006836","16.175283432006836","16.175283432006836","18.757858276367188","18.757858276367188","18.757858276367188","20.76606559753418","20.76606559753418","20.76606559753418","18.76394271850586","18.76394271850586","18.76394271850586","22.299999237060547","22.299999237060547","22.299999237060547"
"31","15.526535987854004","15.526535987854004","15.526535987854004","14.74390983581543","14.74390983581543","14.74390983581543","18.200820922851562","18.200820922851562","18.200820922851562","18.50458335876465","18.50458335876465","18.50458335876465","17.511873245239258","17.511873245239258","17.511873245239258","18.8700008392334","18.8700008392334","18.8700008392334"
"32","15.582518577575684","15.582518577575684","15.582518577575684","14.773643493652344","14.773643493652344","14.773643493652344","14.99116039276123","14.99116039276123","14.99116039276123","15.788980484008789","15.788980484008789","15.788980484008789","14.611725807189941","14.611725807189941","14.611725807189941","18.860000610351562","18.860000610351562","18.860000610351562"
"33","14.861823081970215","14.861823081970215","14.861823081970215","12.89101791381836","12.89101791381836","12.89101791381836","13.725295066833496","13.725295066833496","13.725295066833496","14.120453834533691","14.120453834533691","14.120453834533691","13.471161842346191","13.471161842346191","13.471161842346191","16.600000381469727","16.600000381469727","16.600000381469727"
"34","14.107425689697266","14.107425689697266","14.107425689697266","13.259502410888672","13.259502410888672","13.259502410888672","13.32681941986084","13.32681941986084","13.32681941986084","13.772804260253906","13.772804260253906","13.772804260253906","13.33096981048584","13.33096981048584","13.33096981048584","15.819999694824219","15.819999694824219","15.819999694824219"
"35","14.517958641052246","14.517958641052246","14.517958641052246","14.239449501037598","14.239449501037598","14.239449501037598","13.865976333618164","13.865976333618164","13.865976333618164","14.186962127685547","14.186962127685547","14.186962127685547","13.167147636413574","13.167147636413574","13.167147636413574","15.039999961853027","15.039999961853027","15.039999961853027"
"36","14.752644538879395","14.752644538879395","14.752644538879395","14.628711700439453","14.628711700439453","14.628711700439453","14.500212669372559","14.500212669372559","14.500212669372559","13.569181442260742","13.569181442260742","13.569181442260742","13.804986000061035","13.804986000061035","13.804986000061035","18.280000686645508","18.280000686645508","18.280000686645508"
"37","15.853899955749512","15.853899955749512","15.853899955749512","16.942792892456055","16.942792892456055","16.942792892456055","16.071563720703125","16.071563720703125","16.071563720703125","13.901832580566406","13.901832580566406","13.901832580566406","15.779635429382324","15.779635429382324","15.779635429382324","20.06999969482422","20.06999969482422","20.06999969482422"
"38","18.041717529296875","18.041717529296875","18.041717529296875","19.85638427734375","19.85638427734375","19.85638427734375","17.29756736755371","17.29756736755371","17.29756736755371","15.436868667602539","15.436868667602539","15.436868667602539","18.649259567260742","18.649259567260742","18.649259567260742","22.239999771118164","22.239999771118164","22.239999771118164"
"39","17.648134231567383","17.648134231567383","17.648134231567383","18.541519165039062","18.541519165039062","18.541519165039062","16.953819274902344","16.953819274902344","16.953819274902344","16.858592987060547","16.858592987060547","16.858592987060547","17.09063148498535","17.09063148498535","17.09063148498535","20.5","20.5","20.5"
"40","14.966904640197754","14.966904640197754","14.966904640197754","15.432902336120605","15.432902336120605","15.432902336120605","13.926033020019531","13.926033020019531","13.926033020019531","14.18431282043457","14.18431282043457","14.18431282043457","13.791714668273926","13.791714668273926","13.791714668273926","5.670000076293945","5.670000076293945","5.670000076293945"
"41","12.289318084716797","12.289318084716797","12.289318084716797","12.745965957641602","12.745965957641602","12.745965957641602","11.320158958435059","11.320158958435059","11.320158958435059","11.817415237426758","11.817415237426758","11.817415237426758","11.509522438049316","11.509522438049316","11.509522438049316","4.429999828338623","4.429999828338623","4.429999828338623"
"42","9.753963470458984","9.753963470458984","9.753963470458984","11.311759948730469","11.311759948730469","11.311759948730469","8.442008018493652","8.442008018493652","8.442008018493652","10.228044509887695","10.228044509887695","10.228044509887695","9.366647720336914","9.366647720336914","9.366647720336914","4.789999961853027","4.789999961853027","4.789999961853027"
"43","7.716111183166504","7.716111183166504","7.716111183166504","10.064533233642578","10.064533233642578","10.064533233642578","5.940914154052734","5.940914154052734","5.940914154052734","8.887742042541504","8.887742042541504","8.887742042541504","8.023365020751953","8.023365020751953","8.023365020751953","5.150000095367432","5.150000095367432","5.150000095367432"
"44","6.431088447570801","6.431088447570801","6.431088447570801","9.442344665527344","9.442344665527344","9.442344665527344","3.704766273498535","3.704766273498535","3.704766273498535","8.325024604797363","8.325024604797363","8.325024604797363","7.021388053894043","7.021388053894043","7.021388053894043","3.7100000381469727","3.7100000381469727","3.7100000381469727"
"45","5.893277645111084","5.893277645111084","5.893277645111084","8.842668533325195","8.842668533325195","8.842668533325195","2.9845309257507324","2.9845309257507324","2.9845309257507324","8.190191268920898","8.190191268920898","8.190191268920898","6.757803916931152","6.757803916931152","6.757803916931152","5.590000152587891","5.590000152587891","5.590000152587891"
"46","7.407114505767822","7.407114505767822","7.407114505767822","8.717963218688965","8.717963218688965","8.717963218688965","3.6856136322021484","3.6856136322021484","3.6856136322021484","8.752096176147461","8.752096176147461","8.752096176147461","7.129546642303467","7.129546642303467","7.129546642303467","8.979999542236328","8.979999542236328","8.979999542236328"
"47","11.393488883972168","11.393488883972168","11.393488883972168","10.227078437805176","10.227078437805176","10.227078437805176","5.8339056968688965","5.8339056968688965","5.8339056968688965","10.522804260253906","10.522804260253906","10.522804260253906","8.485963821411133","8.485963821411133","8.485963821411133","10.329999923706055","10.329999923706055","10.329999923706055"
"48","11.470747947692871","11.470747947692871","11.470747947692871","10.57099723815918","10.57099723815918","10.57099723815918","9.909072875976562","9.909072875976562","9.909072875976562","13.484856605529785","13.484856605529785","13.484856605529785","13.294449806213379","13.294449806213379","13.294449806213379","15.170000076293945","15.170000076293945","15.170000076293945"
"49","17.43866729736328","17.43866729736328","17.43866729736328","14.763078689575195","14.763078689575195","14.763078689575195","16.99081039428711","16.99081039428711","16.99081039428711","20.939739227294922","20.939739227294922","20.939739227294922","19.757080078125","19.757080078125","19.757080078125","17.020000457763672","17.020000457763672","17.020000457763672"
"50","26.227169036865234","26.227169036865234","26.227169036865234","20.66992950439453","20.66992950439453","20.66992950439453","24.171463012695312","24.171463012695312","24.171463012695312","27.74762535095215","27.74762535095215","27.74762535095215","27.226757049560547","27.226757049560547","27.226757049560547","20.1299991607666","20.1299991607666","20.1299991607666"
"51","30.142894744873047","30.142894744873047","30.142894744873047","27.482330322265625","27.482330322265625","27.482330322265625","27.986379623413086","27.986379623413086","27.986379623413086","30.315263748168945","30.315263748168945","30.315263748168945","30.877361297607422","30.877361297607422","30.877361297607422","28.920000076293945","28.920000076293945","28.920000076293945"
"52","26.038726806640625","26.038726806640625","26.038726806640625","30.030759811401367","30.030759811401367","30.030759811401367","27.441425323486328","27.441425323486328","27.441425323486328","26.973772048950195","26.973772048950195","26.973772048950195","27.525196075439453","27.525196075439453","27.525196075439453","28.6200008392334","28.6200008392334","28.6200008392334"
"53","21.64950180053711","21.64950180053711","21.64950180053711","28.516399383544922","28.516399383544922","28.516399383544922","23.735485076904297","23.735485076904297","23.735485076904297","24.43819236755371","24.43819236755371","24.43819236755371","22.599876403808594","22.599876403808594","22.599876403808594","23.889999389648438","23.889999389648438","23.889999389648438"
"54","19.725051879882812","19.725051879882812","19.725051879882812","25.349639892578125","25.349639892578125","25.349639892578125","21.851158142089844","21.851158142089844","21.851158142089844","22.721027374267578","22.721027374267578","22.721027374267578","19.424819946289062","19.424819946289062","19.424819946289062","19.93000030517578","19.93000030517578","19.93000030517578"
"55","17.97791290283203","17.97791290283203","17.97791290283203","22.949981689453125","22.949981689453125","22.949981689453125","19.431137084960938","19.431137084960938","19.431137084960938","20.723268508911133","20.723268508911133","20.723268508911133","16.0382137298584","16.0382137298584","16.0382137298584","17.440000534057617","17.440000534057617","17.440000534057617"
"56","14.750971794128418","14.750971794128418","14.750971794128418","17.47049903869629","17.47049903869629","17.47049903869629","16.260095596313477","16.260095596313477","16.260095596313477","17.63792610168457","17.63792610168457","17.63792610168457","15.781720161437988","15.781720161437988","15.781720161437988","17.520000457763672","17.520000457763672","17.520000457763672"
"57","14.195423126220703","14.195423126220703","14.195423126220703","16.169750213623047","16.169750213623047","16.169750213623047","15.495253562927246","15.495253562927246","15.495253562927246","17.414697647094727","17.414697647094727","17.414697647094727","14.688448905944824","14.688448905944824","14.688448905944824","16.040000915527344","16.040000915527344","16.040000915527344"
"58","14.328060150146484","14.328060150146484","14.328060150146484","15.497858047485352","15.497858047485352","15.497858047485352","15.829333305358887","15.829333305358887","15.829333305358887","17.93873405456543","17.93873405456543","17.93873405456543","14.765912055969238","14.765912055969238","14.765912055969238","14.699999809265137","14.699999809265137","14.699999809265137"
"59","15.584325790405273","15.584325790405273","15.584325790405273","15.936361312866211","15.936361312866211","15.936361312866211","16.104822158813477","16.104822158813477","16.104822158813477","19.368587493896484","19.368587493896484","19.368587493896484","16.001815795898438","16.001815795898438","16.001815795898438","14.770000457763672","14.770000457763672","14.770000457763672"
"60","17.570476531982422","17.570476531982422","17.570476531982422","17.995779037475586","17.995779037475586","17.995779037475586","18.806659698486328","18.806659698486328","18.806659698486328","23.187116622924805","23.187116622924805","23.187116622924805","18.455352783203125","18.455352783203125","18.455352783203125","15.25","15.25","15.25"
"61","20.677295684814453","20.677295684814453","20.677295684814453","19.317934036254883","19.317934036254883","19.317934036254883","22.417972564697266","22.417972564697266","22.417972564697266","25.155588150024414","25.155588150024414","25.155588150024414","21.600738525390625","21.600738525390625","21.600738525390625","15.239999771118164","15.239999771118164","15.239999771118164"
"62","20.99471664428711","20.99471664428711","20.99471664428711","19.3564510345459","19.3564510345459","19.3564510345459","20.30245018005371","20.30245018005371","20.30245018005371","20.85308074951172","20.85308074951172","20.85308074951172","19.649555206298828","19.649555206298828","19.649555206298828","18.079999923706055","18.079999923706055","18.079999923706055"
"63","16.24507713317871","16.24507713317871","16.24507713317871","16.3465518951416","16.3465518951416","16.3465518951416","15.601117134094238","15.601117134094238","15.601117134094238","15.814699172973633","15.814699172973633","15.814699172973633","14.196444511413574","14.196444511413574","14.196444511413574","15.649999618530273","15.649999618530273","15.649999618530273"
"64","13.800381660461426","13.800381660461426","13.800381660461426","13.209529876708984","13.209529876708984","13.209529876708984","12.747196197509766","12.747196197509766","12.747196197509766","13.173409461975098","13.173409461975098","13.173409461975098","11.618578910827637","11.618578910827637","11.618578910827637","9.029999732971191","9.029999732971191","9.029999732971191"
"65","12.611607551574707","12.611607551574707","12.611607551574707","10.876283645629883","10.876283645629883","10.876283645629883","13.081130981445312","13.081130981445312","13.081130981445312","11.570066452026367","11.570066452026367","11.570066452026367","10.691085815429688","10.691085815429688","10.691085815429688","4.21999979019165","4.21999979019165","4.21999979019165"
"66","11.792651176452637","11.792651176452637","11.792651176452637","8.51449966430664","8.51449966430664","8.51449966430664","11.415979385375977","11.415979385375977","11.415979385375977","10.507326126098633","10.507326126098633","10.507326126098633","9.500372886657715","9.500372886657715","9.500372886657715","3.7899999618530273","3.7899999618530273","3.7899999618530273"
"67","10.575395584106445","10.575395584106445","10.575395584106445","7.129317760467529","7.129317760467529","7.129317760467529","9.39332389831543","9.39332389831543","9.39332389831543","8.557225227355957","8.557225227355957","8.557225227355957","8.457348823547363","8.457348823547363","8.457348823547363","6.539999961853027","6.539999961853027","6.539999961853027"
"68","9.758255958557129","9.758255958557129","9.758255958557129","5.754997730255127","5.754997730255127","5.754997730255127","8.26856517791748","8.26856517791748","8.26856517791748","7.681461811065674","7.681461811065674","7.681461811065674","8.295257568359375","8.295257568359375","8.295257568359375","8.6899995803833","8.6899995803833","8.6899995803833"
"69","9.316361427307129","9.316361427307129","9.316361427307129","5.312870025634766","5.312870025634766","5.312870025634766","7.914680480957031","7.914680480957031","7.914680480957031","7.576628684997559","7.576628684997559","7.576628684997559","8.491619110107422","8.491619110107422","8.491619110107422","8.829999923706055","8.829999923706055","8.829999923706055"
"70","9.738487243652344","9.738487243652344","9.738487243652344","5.849971771240234","5.849971771240234","5.849971771240234","8.057541847229004","8.057541847229004","8.057541847229004","8.574859619140625","8.574859619140625","8.574859619140625","8.907711029052734","8.907711029052734","8.907711029052734","10.75","10.75","10.75"
"71","10.708125114440918","10.708125114440918","10.708125114440918","7.766462802886963","7.766462802886963","7.766462802886963","8.950864791870117","8.950864791870117","8.950864791870117","11.364476203918457","11.364476203918457","11.364476203918457","10.597331047058105","10.597331047058105","10.597331047058105","9.869999885559082","9.869999885559082","9.869999885559082"
"72","14.27370834350586","14.27370834350586","14.27370834350586","11.178811073303223","11.178811073303223","11.178811073303223","12.420860290527344","12.420860290527344","12.420860290527344","9.337848663330078","9.337848663330078","9.337848663330078","11.482056617736816","11.482056617736816","11.482056617736816","15.579999923706055","15.579999923706055","15.579999923706055"
"73","17.849727630615234","17.849727630615234","17.849727630615234","15.73556900024414","15.73556900024414","15.73556900024414","15.96753215789795","15.96753215789795","15.96753215789795","12.786304473876953","12.786304473876953","12.786304473876953","14.236809730529785","14.236809730529785","14.236809730529785","8.079999923706055","8.079999923706055","8.079999923706055"
"74","23.30890655517578","23.30890655517578","23.30890655517578","22.25755500793457","22.25755500793457","22.25755500793457","21.32437515258789","21.32437515258789","21.32437515258789","17.88947105407715","17.88947105407715","17.88947105407715","18.74622917175293","18.74622917175293","18.74622917175293","20.59000015258789","20.59000015258789","20.59000015258789"
"75","26.38991928100586","26.38991928100586","26.38991928100586","26.739133834838867","26.739133834838867","26.739133834838867","28.72783660888672","28.72783660888672","28.72783660888672","25.050065994262695","25.050065994262695","25.050065994262695","24.354949951171875","24.354949951171875","24.354949951171875","21.170000076293945","21.170000076293945","21.170000076293945"
"76","24.139999389648438","24.139999389648438","24.139999389648438","24.92815589904785","24.92815589904785","24.92815589904785","29.8857479095459","29.8857479095459","29.8857479095459","25.78167152404785","25.78167152404785","25.78167152404785","25.949825286865234","25.949825286865234","25.949825286865234","22.469999313354492","22.469999313354492","22.469999313354492"
"77","20.11688804626465","20.11688804626465","20.11688804626465","20.935104370117188","20.935104370117188","20.935104370117188","25.524253845214844","25.524253845214844","25.524253845214844","22.116933822631836","22.116933822631836","22.116933822631836","22.344316482543945","22.344316482543945","22.344316482543945","19.43000030517578","19.43000030517578","19.43000030517578"
"78","17.582172393798828","17.582172393798828","17.582172393798828","17.52768898010254","17.52768898010254","17.52768898010254","21.19152069091797","21.19152069091797","21.19152069091797","20.066556930541992","20.066556930541992","20.066556930541992","19.581180572509766","19.581180572509766","19.581180572509766","19.860000610351562","19.860000610351562","19.860000610351562"
"79","15.14778995513916","15.14778995513916","15.14778995513916","15.103550910949707","15.103550910949707","15.103550910949707","18.36319923400879","18.36319923400879","18.36319923400879","17.697446823120117","17.697446823120117","17.697446823120117","17.738147735595703","17.738147735595703","17.738147735595703","17.149999618530273","17.149999618530273","17.149999618530273"
"80","13.55817699432373","13.55817699432373","13.55817699432373","13.838940620422363","13.838940620422363","13.838940620422363","14.986820220947266","14.986820220947266","14.986820220947266","15.089595794677734","15.089595794677734","15.089595794677734","15.427998542785645","15.427998542785645","15.427998542785645","15.369999885559082","15.369999885559082","15.369999885559082"
"81","12.746376037597656","12.746376037597656","12.746376037597656","13.51173210144043","13.51173210144043","13.51173210144043","13.87704086303711","13.87704086303711","13.87704086303711","14.313417434692383","14.313417434692383","14.313417434692383","13.841586112976074","13.841586112976074","13.841586112976074","14.75","14.75","14.75"
"82","11.970515251159668","11.970515251159668","11.970515251159668","13.603203773498535","13.603203773498535","13.603203773498535","13.805099487304688","13.805099487304688","13.805099487304688","13.621923446655273","13.621923446655273","13.621923446655273","12.481650352478027","12.481650352478027","12.481650352478027","14.079999923706055","14.079999923706055","14.079999923706055"
"83","12.057968139648438","12.057968139648438","12.057968139648438","13.409647941589355","13.409647941589355","13.409647941589355","14.128664016723633","14.128664016723633","14.128664016723633","13.117071151733398","13.117071151733398","13.117071151733398","12.422195434570312","12.422195434570312","12.422195434570312","14.149999618530273","14.149999618530273","14.149999618530273"
