hour,TH_NP15_GEN_Combined,TH_SP15_GEN_Combined,TH_ZP26_GEN_Combined
2022-07-31 01:00:00,84.24345437500001,72.83962875,76.544359375
2022-07-31 05:00:00,48.806581875,49.437945,46.918775
2022-07-31 06:00:00,40.327215625,40.79420125,39.900145625
2022-08-01 01:00:00,41.136274625,42.941792,40.909140375
2022-08-01 02:00:00,41.945333625,45.08938275,41.918135125
2022-08-01 03:00:00,42.754392625,47.236973500000005,42.927129875000006
2022-08-01 04:00:00,43.563451625,49.38456425,43.936124625000005
2022-08-01 05:00:00,47.27841868055556,53.23951111111111,48.02391881944445
2022-08-01 06:00:00,47.57187861111112,53.06817659722222,48.34884576388889
2022-08-01 07:00:00,47.86533854166667,52.89684208333333,48.67377270833334
2022-08-01 08:00:00,48.15879847222222,52.725507569444446,48.99869965277778
2022-08-01 09:00:00,48.45225840277778,52.55417305555555,49.32362659722222
2022-08-01 10:00:00,48.745718333333336,52.382838541666665,49.648553541666665
2022-08-01 11:00:00,49.039178263888886,52.21150402777778,49.97348048611112
2022-08-01 12:00:00,49.33263819444444,52.04016951388888,50.29840743055556
2022-08-01 13:00:00,49.626098125,51.868835,50.623334375
2022-08-01 14:00:00,57.251086875,43.5495575,42.13648625
2022-08-01 15:00:00,47.35545,47.35545,47.35545
2022-08-01 16:00:00,44.50711875,39.65339375,38.9424
2022-08-01 17:00:00,44.647516875,43.300368125,42.551818125
2022-08-01 18:00:00,45.36896,44.525782500000005,43.3438875
2022-08-01 19:00:00,44.18584375,44.088233125,42.55647125
2022-08-01 20:00:00,49.7927425,50.4934125,48.40304
2022-08-01 21:00:00,43.194118125,59.61333,40.47453625
2022-08-01 22:00:00,46.154598125,49.22520709558824,47.01425702205883
2022-08-01 23:00:00,46.4937225,49.53393286764706,47.28677066176471
2022-08-02 00:00:00,46.832846875,49.84265863970589,47.55928430147059
2022-08-02 01:00:00,47.17197125,50.15138441176471,47.83179794117647
2022-08-02 02:00:00,47.511095625,50.46011018382353,48.10431158088235
2022-08-02 03:00:00,47.85022,50.76883595588235,48.37682522058824
2022-08-02 04:00:00,48.189344375000005,51.07756172794118,48.64933886029412
2022-08-02 05:00:00,53.9614025,53.34555270833334,51.71105194444445
2022-08-02 06:00:00,52.839095,52.21345291666667,50.797482638888894
2022-08-02 07:00:00,51.7167875,51.08135312500001,49.88391333333334
2022-08-02 08:00:00,50.59448,49.94925333333334,48.97034402777778
2022-08-02 09:00:00,49.4721725,48.81715354166667,48.05677472222223
2022-08-02 10:00:00,48.349865,47.68505375,47.14320541666667
2022-08-02 11:00:00,47.2275575,46.55295395833333,46.22963611111111
2022-08-02 12:00:00,46.10525,45.42085416666667,45.31606680555556
2022-08-02 13:00:00,44.9829425,44.288754375,44.4024975
2022-08-02 14:00:00,36.68599375,36.0461075,35.695015
2022-08-02 15:00:00,37.92387625,33.554169375,31.767403125
2022-08-02 16:00:00,31.340351875,30.425944375,29.85211625
2022-08-02 17:00:00,30.575925,29.832496875,29.092348125
2022-08-02 18:00:00,35.481052500000004,34.84166625,34.142005
2022-08-02 19:00:00,39.4090625,35.049916249999995,33.74008812500001
2022-08-02 20:00:00,42.3771725,42.211275,41.79884375
2022-08-02 21:00:00,64.449384375,56.519789375,54.54582125
2022-08-02 22:00:00,48.78870709558824,50.02681474264706,48.714697426470586
2022-08-02 23:00:00,49.59928911764706,50.93687415441177,49.560722169117646
2022-08-03 00:00:00,50.409871139705885,51.84693356617648,50.40674691176471
2022-08-03 01:00:00,51.22045316176471,52.75699297794118,51.25277165441177
2022-08-03 02:00:00,52.03103518382353,53.66705238970589,52.09879639705882
2022-08-03 03:00:00,52.84161720588236,54.57711180147059,52.94482113970588
2022-08-03 04:00:00,53.65219922794118,55.4871712132353,53.79084588235294
2022-08-03 05:00:00,61.96226784722222,59.57751770833333,57.743056527777775
2022-08-03 06:00:00,59.289280069444445,57.47097791666666,55.77803993055556
2022-08-03 07:00:00,56.61629229166667,55.364438125,53.81302333333333
2022-08-03 08:00:00,53.94330451388889,53.25789833333333,51.84800673611111
2022-08-03 09:00:00,51.27031673611111,51.15135854166667,49.88299013888889
2022-08-03 10:00:00,48.597328958333335,49.044818750000005,47.91797354166667
2022-08-03 11:00:00,45.92434118055556,46.938278958333335,45.95295694444445
2022-08-03 12:00:00,43.25135340277778,44.831739166666665,43.98794034722223
2022-08-03 13:00:00,40.578365625,42.725199375,42.02292375
2022-08-03 14:00:00,36.0293525,36.98091625,35.920370625000004
2022-08-03 15:00:00,35.35122625,35.42019125,34.6726675
2022-08-03 16:00:00,32.8759625,33.226455,32.034490625
2022-08-03 17:00:00,34.067991875000004,34.0905525,32.9373225
2022-08-03 18:00:00,34.95159125,34.95159125,34.95159125
2022-08-03 19:00:00,35.07348125,35.07348125,35.07348125
2022-08-03 20:00:00,37.36697625,37.236093125,36.652684375
2022-08-03 21:00:00,51.1328625,48.264695,46.82939625
2022-08-03 22:00:00,40.17555632352941,47.46207397058824,40.046789044117645
2022-08-03 23:00:00,40.11625470588236,48.131424117647065,39.97461069852941
2022-08-04 00:00:00,40.056953088235296,48.800774264705886,39.902432352941176
2022-08-04 01:00:00,39.99765147058824,49.47012441176471,39.83025400735294
2022-08-04 02:00:00,39.93834985294118,50.13947455882353,39.75807566176471
2022-08-04 03:00:00,39.87904823529412,50.80882470588236,39.68589731617647
2022-08-04 04:00:00,39.81974661764706,51.47817485294118,39.61371897058823
2022-08-04 05:00:00,51.272973541666666,58.340399652777776,51.51498965277778
