"Name","Total_Average_MAE_Loss","feature_index"
"frosty-sweep-344","7.186180038111551","347"
"lyric-sweep-141","7.183776702199664","144"
"dainty-sweep-161","7.181435316801071","164"
"eternal-sweep-291","7.181339676891055","294"
"magic-sweep-249","7.181027829647063","252"
"sleek-sweep-245","7.180881632225854","248"
"hopeful-sweep-348","7.179523923567364","351"
"decent-sweep-366","7.176265329122543","369"
"flowing-sweep-92","7.176118778330939","95"
"comic-sweep-195","7.174430578947067","198"
"comic-sweep-28","7.163130726133074","31"
"brisk-sweep-49","7.160112253257207","52"
"glad-sweep-226","7.159418412617274","229"
"treasured-sweep-179","7.158904769590922","182"
"atomic-sweep-250","7.158822442804064","253"
"fallen-sweep-87","7.157982153551918","90"
"amber-sweep-236","7.15774102296148","239"
"balmy-sweep-44","7.157548376492091","47"
"logical-sweep-126","7.156749048403332","129"
"solar-sweep-248","7.155463303838458","251"
"logical-sweep-216","7.154630150113787","219"
"eager-sweep-136","7.149381739752633","139"
"golden-sweep-36","7.148870791707719","39"
"astral-sweep-63","7.148706925766808","66"
"stilted-sweep-193","7.147952275616783","196"
"fearless-sweep-188","7.147187607628959","191"
"worthy-sweep-301","7.143680155277252","304"
"leafy-sweep-260","7.143577418157032","263"
"rare-sweep-123","7.142343338046755","126"
"kind-sweep-73","7.14037178669657","76"
"charmed-sweep-307","7.138688696282251","310"
"elated-sweep-173","7.136867416756494","176"
"snowy-sweep-124","7.135322068418775","127"
"expert-sweep-232","7.1348593064716885","235"
"dashing-sweep-65","7.134601269449506","68"
"comfy-sweep-233","7.128407878535134","236"
"colorful-sweep-267","7.126948143754687","270"
"frosty-sweep-242","7.125886729785374","245"
"dandy-sweep-227","7.125073441437312","230"
"ancient-sweep-343","7.121713599988393","346"
"ancient-sweep-235","7.1213123840945105","238"
"fancy-sweep-210","7.120120257139206","213"
"sweepy-sweep-145","7.11681426848684","148"
"radiant-sweep-90","7.113960649285998","93"
"deep-sweep-19","7.113885279212679","22"
"lunar-sweep-273","7.110368102788925","276"
"jolly-sweep-215","7.109937463487897","218"
"floral-sweep-42","7.1082710197993695","45"
"smart-sweep-117","7.106255203485489","120"
"decent-sweep-319","7.106020820992334","322"
"glad-sweep-104","7.1052217951842715","107"
