hour,DAM_SP15,DAM_NP15,DAM_ZP26
2021-10-08 11:00:00,54.22781,56.30047,54.54408
2021-10-08 08:00:00,53.46611,56.15877,54.18415
2021-10-08 12:00:00,61.10803,63.48774,61.4595
2021-10-08 23:00:00,50.0732,51.73268,49.03865
2021-10-08 09:00:00,52.3655,55.07065,53.06378
2021-10-08 10:00:00,52.80771,55.23819,53.37666
2021-10-08 19:00:00,43.27544,56.91086,39.64612
2021-11-24 02:00:00,68.4168,68.41909,68.45281
2021-11-24 05:00:00,58.42402,59.4235,58.35739
2021-11-24 03:00:00,64.93186,64.9381,64.99
2021-11-24 00:00:00,69.06482,68.71611,68.01159
2021-11-24 07:00:00,53.50499,54.71584,53.455
2021-11-24 04:00:00,59.94583,59.93619,60.0
2021-11-24 01:00:00,83.12475,85.22236,82.21473
2021-11-24 06:00:00,54.57907,56.25711,54.71559
2021-11-24 18:00:00,32.07156,46.77647,28.68
2021-11-24 14:00:00,73.9829,76.01828,74.78205
2021-11-24 19:00:00,28.33449,41.00934,26.00345
2021-11-24 13:00:00,57.84348,59.88109,58.41613
2021-11-24 11:00:00,49.57662,51.57249,50.12437
2021-11-24 17:00:00,37.74756,50.48991,35.52789
2021-11-24 08:00:00,51.63796,53.31994,51.84151
2021-11-24 20:00:00,26.44393,39.15944,24.44198
2021-11-24 10:00:00,48.68256,50.66182,49.27222
2021-11-24 21:00:00,30.05039,39.64686,28.56334
2021-11-24 23:00:00,53.6609,56.159,53.62331
2021-11-24 22:00:00,39.32438,45.56,38.84624
2021-11-24 09:00:00,50.8331,50.70682,50.8331
2021-11-24 16:00:00,50.03215,53.94481,50.36243
2021-11-24 15:00:00,56.12392,60.26734,57.34672
2021-11-24 12:00:00,52.43768,54.29886,52.95632
2021-10-15 02:00:00,88.23859,92.85632,88.35938
2021-10-15 00:00:00,77.47358,96.99892,73.89686
2021-10-15 03:00:00,78.73396,85.56242,78.23298
2021-10-15 04:00:00,74.64,79.44972,74.51181
2021-10-15 01:00:00,93.90987,98.2943,94.23574
2021-10-15 06:00:00,58.21182,70.26459,56.02281
2021-10-15 05:00:00,66.12707,80.04,63.41943
2021-10-15 12:00:00,59.1475,69.04429,57.93629
2021-10-15 20:00:00,29.70231,68.52819,22.73052
2021-10-15 11:00:00,52.74426,59.0,52.596
2021-10-15 23:00:00,55.64,75.17696,52.53573
2021-10-15 13:00:00,75.66508,80.14032,76.44546
2021-10-15 21:00:00,34.88,68.06191,28.35793
2021-10-15 15:00:00,52.04896,81.9125,48.33449
2021-10-15 14:00:00,72.30295,87.87385,71.01037
2021-10-15 17:00:00,23.10546,65.9918,16.08278
2021-10-15 10:00:00,52.29552,57.65327,52.29764
2021-10-15 09:00:00,52.36101,58.42247,52.07554
2021-10-15 22:00:00,50.53188,68.95678,45.15476
2021-10-15 08:00:00,53.27422,59.42084,53.04429
2021-10-15 18:00:00,21.12015,65.93221,13.72523
2021-10-15 16:00:00,29.818,67.89846,23.70589
2021-10-15 19:00:00,21.47,64.29627,14.46535
2021-10-15 07:00:00,52.6751,68.67612,50.5232
2021-11-02 02:00:00,93.00777,92.16413,92.51907
2021-11-02 03:00:00,81.06992,81.04,80.53952
2021-11-02 06:00:00,62.72,64.98908,62.75266
2021-11-02 01:00:00,105.5695,105.26817,105.48208
2021-11-02 05:00:00,67.74562,69.12127,67.43
2021-11-02 04:00:00,79.03639,78.04741,78.50813
2021-11-02 00:00:00,101.24193,101.9659,101.26753
2021-11-02 22:00:00,51.99326,55.44951,51.41722
2021-11-02 19:00:00,42.21178,46.13412,41.80515
2021-11-02 10:00:00,54.65714,56.19797,54.2169
2021-11-02 11:00:00,55.31469,57.41146,55.03895
2021-11-02 18:00:00,44.59809,48.47122,44.12154
2021-11-02 09:00:00,54.22555,56.06885,53.91646
2021-11-02 12:00:00,62.43838,62.37757,62.44
2021-11-02 14:00:00,85.32992,87.51124,85.45754
2021-11-02 17:00:00,49.64343,51.95701,47.46172
2021-11-02 07:00:00,56.08889,58.2641,55.9431
2021-11-02 08:00:00,55.5084,57.43062,55.26668
2021-11-02 13:00:00,74.36,74.21018,74.36
2021-11-02 21:00:00,40.37006,56.20774,36.34316
2021-11-02 20:00:00,40.24996,46.25137,38.64
2021-11-02 23:00:00,67.82758,69.78,66.98924
2021-11-02 15:00:00,59.89198,67.55337,59.33679
2021-11-02 16:00:00,52.48809,57.12044,52.3183
2021-11-29 00:00:00,63.58491,64.26461,62.62418
2021-11-29 01:00:00,80.77257,81.52986,79.6824
2021-11-29 07:00:00,51.04219,52.54513,50.6414
2021-11-29 06:00:00,54.80267,56.35016,54.3662
2021-11-29 04:00:00,60.10368,61.02139,59.37819
2021-11-29 03:00:00,62.16096,63.36341,61.51793
2021-11-29 02:00:00,66.05928,66.79471,65.24214
2021-11-29 05:00:00,55.10193,55.97116,54.42587
2021-11-29 09:00:00,49.00874,50.51973,48.67521
2021-11-29 13:00:00,58.22249,58.95729,57.70276
2021-11-29 21:00:00,35.32447,39.38257,33.78332
2021-11-29 14:00:00,72.25055,73.32803,71.90873
2021-11-29 18:00:00,34.59,50.20216,29.96466
2021-11-29 22:00:00,47.46578,49.53016,45.60251
2021-11-29 23:00:00,57.70484,58.48269,56.46626
2021-11-29 20:00:00,33.54783,38.44781,32.44
2021-11-29 17:00:00,35.43004,52.2456,29.6749
2021-11-29 10:00:00,48.67446,49.89132,48.32893
2021-11-29 15:00:00,58.91179,62.09353,59.04178
2021-11-29 12:00:00,51.12649,52.60215,50.91568
2021-11-29 16:00:00,47.77863,55.13806,46.38468
2021-11-29 19:00:00,31.20328,44.71431,27.13422
2021-11-29 11:00:00,49.374,50.86,49.03812
2021-11-29 08:00:00,50.23521,52.28,50.0375
2021-12-07 02:00:00,74.95096,79.62303,77.54634
2021-12-07 05:00:00,56.75864,58.94851,57.16219
2021-12-07 04:00:00,64.56358,67.16482,64.9497
2021-12-07 06:00:00,52.16349,52.92239,52.01228
2021-12-07 00:00:00,71.10646,72.86639,74.49468
2021-12-07 03:00:00,67.56176,70.46558,67.95225
2021-12-07 01:00:00,81.3,89.52209,89.05087
2021-12-07 07:00:00,45.52425,46.48723,45.61394
2021-12-07 18:00:00,51.91259,50.8957,51.15071
2021-12-07 17:00:00,55.01551,54.12519,54.34886
2021-12-07 23:00:00,59.38759,57.61127,56.04654
2021-12-07 21:00:00,44.1572,44.8636,42.54754
2021-12-07 22:00:00,49.40195,49.90914,47.69765
2021-12-07 14:00:00,60.676,62.74119,61.01175
2021-12-07 15:00:00,70.23582,69.92757,69.98377
2021-12-07 16:00:00,61.11335,60.71088,60.80517
2021-12-07 10:00:00,39.94333,40.37951,39.51949
2021-12-07 08:00:00,43.45192,44.48606,43.25042
2021-12-07 13:00:00,48.46974,48.87482,48.05966
2021-12-07 11:00:00,41.45274,41.9186,40.97406
2021-12-07 19:00:00,46.4842,45.56636,45.79511
2021-12-07 20:00:00,44.26343,45.49109,42.81215
2021-12-07 12:00:00,43.56646,43.96162,43.0276
