hour,DAM_SP15,DAM_NP15,DAM_ZP26
2022-05-14 09:00:00,66.49462,69.39415,66.1539
2022-05-14 11:00:00,67.01114,70.18111,66.75165
2022-05-14 17:00:00,18.45216,30.99487,8.80883
2022-05-14 23:00:00,61.41364,64.09706,55.43067
2022-05-14 07:00:00,65.91779,68.0138,65.4711
2022-05-14 15:00:00,22.2696,33.23025,14.18381
2022-05-14 10:00:00,64.79333,67.43133,64.40102
2022-03-03 05:00:00,55.85375,57.25343,55.02323
2022-03-03 03:00:00,66.34741,67.85,65.29428
2022-03-03 00:00:00,48.48939,51.1204,47.47077
2022-03-03 02:00:00,84.5,86.27105,83.58816
2022-03-03 01:00:00,72.4575,73.6297,71.25792
2022-03-03 04:00:00,60.06275,61.95147,59.32232
2022-03-03 07:00:00,45.43022,46.69479,44.63278
2022-03-03 06:00:00,48.06796,49.85011,47.46554
2022-03-03 11:00:00,44.22414,45.24878,43.70725
2022-03-03 13:00:00,53.24982,54.34241,52.62628
2022-03-03 22:00:00,31.61664,35.40739,32.50669
2022-03-03 09:00:00,45.31988,46.62294,44.87769
2022-03-03 12:00:00,46.79966,48.35219,46.42491
2022-03-03 16:00:00,40.34988,47.2,41.0317
2022-03-03 15:00:00,46.61537,51.17299,46.45535
2022-03-03 23:00:00,42.32809,44.96251,41.6945
2022-03-03 08:00:00,49.89077,51.53649,49.49621
2022-03-03 10:00:00,44.29056,45.40104,43.87299
2022-03-03 17:00:00,31.72068,44.82933,31.4415
2022-03-03 18:00:00,27.73362,42.60885,27.06263
2022-03-03 19:00:00,26.79809,32.48944,27.28031
2022-03-03 20:00:00,26.42494,31.49008,26.97947
2022-03-03 21:00:00,25.61899,31.84657,26.04249
2022-03-03 14:00:00,62.03438,64.5277,61.80712
2022-06-20 03:00:00,97.3562,99.26255,95.87802
2022-06-20 01:00:00,65.31033,69.51068,64.53968
2022-06-20 06:00:00,63.12107,65.40327,62.87632
2022-06-20 02:00:00,89.27897,90.80008,87.59921
2022-06-20 00:00:00,30.58871,32.66902,30.06942
2022-06-20 04:00:00,83.86948,85.6299,82.98184
2022-06-20 05:00:00,67.16968,70.58931,67.29765
2022-06-20 23:00:00,62.33623,69.28615,57.9878
2022-06-20 09:00:00,63.68904,66.41867,63.59561
2022-06-20 22:00:00,57.52078,69.66615,52.33139
2022-06-20 11:00:00,67.82397,70.51,67.55466
2022-06-20 12:00:00,70.63987,73.24631,70.33714
2022-06-20 14:00:00,28.59597,37.10178,26.34578
2022-06-20 16:00:00,15.75969,27.71224,12.4182
2022-06-20 17:00:00,15.83397,24.17356,13.30312
2022-06-20 07:00:00,66.77714,69.77868,66.50364
2022-06-20 08:00:00,64.26568,67.12987,64.00959
2022-06-20 15:00:00,15.39028,23.59718,12.89663
2022-06-20 18:00:00,20.21492,27.49795,17.52251
2022-06-20 20:00:00,30.48904,42.56854,25.66286
2022-06-20 21:00:00,46.98107,54.9878,42.30676
2022-06-20 13:00:00,69.72608,72.79225,69.45597
2022-06-20 10:00:00,64.99565,67.83989,64.83235
2022-06-20 19:00:00,25.09526,32.92866,21.85528
2022-02-08 06:00:00,56.90955,56.78699,55.45048
2022-02-08 00:00:00,56.8766,57.66778,55.67211
2022-02-08 07:00:00,52.21874,52.11183,50.85568
2022-02-08 01:00:00,75.15883,74.04777,73.25305
2022-02-08 05:00:00,60.28494,59.25691,58.55513
2022-02-08 04:00:00,68.11,67.73873,66.61793
2022-02-08 02:00:00,80.79051,80.13314,79.03474
2022-02-08 03:00:00,69.35816,68.87294,67.80973
2022-02-08 10:00:00,43.87484,44.38066,43.17032
2022-02-08 08:00:00,45.6547,46.29056,44.96232
2022-02-08 18:00:00,14.43518,30.44548,9.60521
2022-02-08 21:00:00,12.93386,18.60929,12.5724
2022-02-08 15:00:00,52.54,55.85132,52.51208
2022-02-08 22:00:00,17.92376,23.82699,17.49786
2022-02-08 16:00:00,37.88415,42.41636,37.70425
2022-02-08 09:00:00,44.19989,44.70066,43.48516
2022-02-08 13:00:00,52.95847,53.44457,52.04633
2022-02-08 20:00:00,12.89662,20.24227,11.99621
2022-02-08 23:00:00,34.83131,36.40704,33.88735
2022-02-08 17:00:00,22.89174,33.56394,21.84641
2022-02-08 12:00:00,45.56849,46.11819,44.88254
2022-02-08 14:00:00,67.36997,67.67554,66.20327
2022-02-08 19:00:00,12.79655,20.44552,11.9883
2022-02-08 11:00:00,43.47492,43.9807,42.79905
2022-07-21 06:00:00,79.85343,81.04612,79.10725
2022-07-21 00:00:00,110.55934,107.53434,104.26951
2022-07-21 05:00:00,89.28307,85.22414,85.52174
2022-07-21 03:00:00,133.41656,126.39416,127.12743
2022-07-21 04:00:00,117.0958,112.49514,112.13239
2022-07-21 02:00:00,176.65273,168.0499,168.54774
2022-07-21 01:00:00,130.53,125.47881,123.58309
2022-07-21 16:00:00,62.80064,62.03858,58.42305
2022-07-21 17:00:00,64.88922,63.64758,60.10061
2022-07-21 20:00:00,80.67971,74.27,69.239
2022-07-21 14:00:00,66.29301,65.09353,63.4517
2022-07-21 15:00:00,62.62732,62.10627,58.73557
2022-07-21 18:00:00,66.82403,66.05377,61.75872
2022-07-21 08:00:00,68.75363,71.27908,68.76081
2022-07-21 09:00:00,66.54145,69.26352,66.38555
2022-07-21 12:00:00,69.07714,70.87692,68.51265
2022-07-21 21:00:00,90.12091,82.01018,79.18572
2022-07-21 10:00:00,64.38,68.04258,59.13479
2022-07-21 13:00:00,87.90409,85.25112,85.16236
2022-07-21 22:00:00,100.82791,87.03408,83.40294
2022-07-21 23:00:00,110.16443,88.54573,82.84205
2022-07-21 07:00:00,73.31787,74.96268,73.17647
2022-07-21 11:00:00,65.60086,69.04328,61.95
